file,transcription,duration_sec
1.wav,এক মাইলের কম থেকে শুরু করে বেশি দূরত্ব যা কিনা একদিনে পাড়ি দেয়া যায় ততটুকু পর্যন্ত দৈনিক পদব্রজে ভ্রমণের অন্তর্ভুক্ত,10.2
2.wav,ব্রাজিলের জাতীয় কংগ্রেস সামাজিক বিবাহকে 10 বছরের জন্য বৈধ করার জন্য বিতর্ক চালিয়েছে যেখানে বর্তমানে এই ধরনের বিবাহ শুধুমাত্র রিও গ্র্যান্ডে দো সুল-এ বৈধ,14.04
3.wav,স্থলরেখা থেকে অনেক দূরে থাকায় মার্কিন যুক্তরাষ্ট্র বা ক্যারিবিয়ানদের উপর ঝড়ের সম্ভাব্য প্রভাব মূল্যায়ন করা কঠিন হয়ে যায়,14.04
4.wav,বর্তমানে অনেক সামি আধুনিক ব্যবসায় কাজ করে।সামি অঞ্চলের সাপমিতে পর্যটন একটি গুরুত্বপূর্ণ আয়ের উৎস।,9.36
5.wav,অশ্বরোহীর পা-দান তার পায়ের সাপোর্টের জন্য যা অশ্বরোহীর জিনের উভয় পাশে বিদ্যমান,8.52
6.wav,একটি সংক্রামক রোগ হলো একটি রোগ যেটি একজন আক্রান্ত রোগীর সান্নিধ্যে যাওয়ার মাধ্যমে ছড়ায়,8.64
7.wav,প্রক্রিয়াটির পরে প্রক্রিয়াতে থাকার জন্য 2015 বা 2016 সালে এইচজেআর-3 পরবর্তী নির্বাচিত আইনসভা দ্বারা পুনরায় পরীক্ষিত হবে,12.6
8.wav,2008 সিঙ্গাপুর গ্রাঁ প্রি-তে ফার্নান্ডো আলোন্সো পিট স্টপ নেওয়ার একটু পরেই পিকেট জুনিয়র ক্র্যাশ করেন এবং তার জন্য সেফটি কার আনতে হয়,13.08
9.wav,2 টি জনপ্রিয় বিষয়বস্তু তত্ত্ব হল মাসলোর চাহিদা তত্ত্বের শ্রেণীবিন্যাস এবং হার্জবার্গের 2 ফ্যাক্টর তত্ত্ব,10.92
10.wav,রিপোর্টটিতে পরে জানানো হয়েছিল যে বিমানটি বোমার হুমকি পেয়েছিল এবং আফগানিস্তানে ফিরিয়ে নিয়ে এসে কান্দাহারে অবতরণ করা হয়েছিল,12.96
