file,transcript,transcript_clean,dialect,split
audio/test_kishoreganj_0001.wav,<> এইযে ওয়া। <> ছবি তুলছস? তে আস না ক্যা? দে,এইযে ওয়া। ছবি তুলছস? তে আস না ক্যা? দে,kishoreganj,test
audio/test_kishoreganj_0002.wav,"তুই টিপ সইডা দে। হেই এও গেছে? তুই আমারে খালি টিপ সই দে মাদারি। এই চুতমারানি। টিপ সই দে। এই নাইম, এও গেছে, ভিডিও গেছে? কের ভিডিও? <> ভিডিও আইছে।উঠতাম না আইট্টাই লইব। না উডুক, উডো উডো লও তুমি <>","তুই টিপ সইডা দে। হেই এও গেছে? তুই আমারে খালি টিপ সই দে মাদারি। এই চুতমারানি। টিপ সই দে। এই নাইম, এও গেছে, ভিডিও গেছে? কের ভিডিও? ভিডিও আইছে।উঠতাম না আইট্টাই লইব। না উডুক, উডো উডো লও তুমি",kishoreganj,test
audio/test_kishoreganj_0003.wav,"উঠ। নাইম এইডারে কিন্তু তুই কভার দিবে। ঠিকাছে? ভালা জিনিষ দেখ। বাহ! কী ছবি অইছে! কভার দিবে তুই, আমিও দেম। ঠিকাছে <> ? আসলেও? হ। হায়রে এইতা ছবি আমি তুলতারলাম না। <> ছবি দিলাম না। এইডা <> খেতো।","উঠ। নাইম এইডারে কিন্তু তুই কভার দিবে। ঠিকাছে? ভালা জিনিষ দেখ। বাহ! কী ছবি অইছে! কভার দিবে তুই, আমিও দেম। ঠিকাছে ? আসলেও? হ। হায়রে এইতা ছবি আমি তুলতারলাম না। ছবি দিলাম না। এইডা খেতো।",kishoreganj,test
audio/test_kishoreganj_0004.wav,"হ নাইমের গাড়ির এইনো খারো, ছবি তুইল্লা দেই। ও বাবারে! কই <> ছবি তুলোস না কেরে? <> ছিনারি কুনহানদিয়া ভাল অইব? আরাফাত এইযে ধরোছে দেহিছে। তিনডা তালগাছ লয়ানি? ছবি যেহান দিয়া তুলস এইহান দিয়াই সুন্দর অইবো, ঠিকাছে? এইযে এই <>","হ নাইমের গাড়ির এইনো খারো, ছবি তুইল্লা দেই। ও বাবারে! কই ছবি তুলোস না কেরে? ছিনারি কুনহানদিয়া ভাল অইব? আরাফাত এইযে ধরোছে দেহিছে। তিনডা তালগাছ লয়ানি? ছবি যেহান দিয়া তুলস এইহান দিয়াই সুন্দর অইবো, ঠিকাছে? এইযে এই",kishoreganj,test
audio/test_kishoreganj_0005.wav,"কঠিন ছবি অইছে। বলার ভাষা নাই। দেহিছে। এই এইন্দা আরেকটা ছবি তুইল্লা দেছেন, দেহিছে ছবি তুইল্লানি ভাইরাল অই। চুপ। বালের ছবি অহন তুলতামো না। আমার ভাইরাল অওয়ার দরহার নাই। <> ফিছে থাকব। অকে। গাড়ি? তে এম্মে আ, এম্মে আ, গাড়ির ধারো খাড়ো তুই তে। সরায়া রাহি, সরায়া","কঠিন ছবি অইছে। বলার ভাষা নাই। দেহিছে। এই এইন্দা আরেকটা ছবি তুইল্লা দেছেন, দেহিছে ছবি তুইল্লানি ভাইরাল অই। চুপ। বালের ছবি অহন তুলতামো না। আমার ভাইরাল অওয়ার দরহার নাই। ফিছে থাকব। অকে। গাড়ি? তে এম্মে আ, এম্মে আ, গাড়ির ধারো খাড়ো তুই তে। সরায়া রাহি, সরায়া",kishoreganj,test
audio/test_kishoreganj_0006.wav,"তুই গাড়ির <> গাড়ির ধারোই খারো। গাড়ির ধারো খারো, গাড়ির লগে খারো। বাড়লে, নিবা নাকি? <> ধুর মিয়া! আরো সামনে আওয়া লাগবো। হেরেতো ল'না। এও এইডার লাইজ্ঞা মনে অইছে <> নাকি এইডা দুইডারেই সরান লাগব","তুই গাড়ির গাড়ির ধারোই খারো। গাড়ির ধারো খারো, গাড়ির লগে খারো। বাড়লে, নিবা নাকি? ধুর মিয়া! আরো সামনে আওয়া লাগবো। হেরেতো ল'না। এও এইডার লাইজ্ঞা মনে অইছে নাকি এইডা দুইডারেই সরান লাগব",kishoreganj,test
audio/test_kishoreganj_0007.wav,"বেডা নাইম্মা ফর নিছে। নিছে নামন লাগতো না। আমি এইন্তেই লয়ালবাম। নিচেতো সুন্দর ছবি উডব বেডা। নিছে নাইম্মা ল।আরে এইনতেই লয়ালবাম আমি। আরে নিছে নাইম্মা তুল বেডা, নিছে নাইম্মা সুন্দর অইতো না ছবি? না এইনতেই লয়ালবাম। হেই এইনতে তালগাছ ভাসবো, এহ! এই নিচে নাম। এই <> তোরাই সামনে আ। আই <> নিছে নাম তুই। নাহ <> নামন লাগব","বেডা নাইম্মা ফর নিছে। নিছে নামন লাগতো না। আমি এইন্তেই লয়ালবাম। নিচেতো সুন্দর ছবি উডব বেডা। নিছে নাইম্মা ল।আরে এইনতেই লয়ালবাম আমি। আরে নিছে নাইম্মা তুল বেডা, নিছে নাইম্মা সুন্দর অইতো না ছবি? না এইনতেই লয়ালবাম। হেই এইনতে তালগাছ ভাসবো, এহ! এই নিচে নাম। এই তোরাই সামনে আ। আই নিছে নাম তুই। নাহ নামন লাগব",kishoreganj,test
audio/test_kishoreganj_0008.wav,"<> নয়শ ফঞ্চাশ টেহার জুতাডি <> দেহো <> ব্ল্যাক , একদম ব্ল্যাক","নয়শ ফঞ্চাশ টেহার জুতাডি দেহো ব্ল্যাক , একদম ব্ল্যাক",kishoreganj,test
audio/test_kishoreganj_0009.wav,"দেমনে, নাইম? দেমনে দেমনে। এই গাড়ি কই খারো হরছছ? যাইতারবো, বহুত জাগা আছে, দুই হুন্ডার একবারে যাইতারবো।","দেমনে, নাইম? দেমনে দেমনে। এই গাড়ি কই খারো হরছছ? যাইতারবো, বহুত জাগা আছে, দুই হুন্ডার একবারে যাইতারবো।",kishoreganj,test
audio/test_kishoreganj_0010.wav,"মানুষ অহন ঘুরাঘারির মইদ্দে আশুত্তিয়া বেশি, নাইম? কই, তুই <> মালারের ছবি ইয়া। <> দিয়ালতাম?","মানুষ অহন ঘুরাঘারির মইদ্দে আশুত্তিয়া বেশি, নাইম? কই, তুই মালারের ছবি ইয়া। দিয়ালতাম?",kishoreganj,test
