file,transcript,transcript_clean,dialect,split
audio/test_rangpur_0001.wav,"ও ভাই, আমিতো এই যে আমাদের বাড়ির সামনে গো। নেমেন না? কী হইচে? মগ <>। সাগাই পানি খাইবে। <> ক্যা? ওটা তোমরা নিবান্নাইস?","ও ভাই, আমিতো এই যে আমাদের বাড়ির সামনে গো। নেমেন না? কী হইচে? মগ । সাগাই পানি খাইবে। ক্যা? ওটা তোমরা নিবান্নাইস?",rangpur,test
audio/test_rangpur_0002.wav,"তোমরা বলে পনেরো হাজার টাকা দিয়া বলে কিনি আনি নাগান? বাম হাত দি খা। খায় না। ওই <> টিউবলের পাড়ে পানি আসার কারণ কী জানেন? কেউ জায়গা দেয় না ভাই, কেউ না! তাইলে একন তাইলে আপনি বলেন কী করবেন, তাইলে? <> এলা মুই কং, এলা","তোমরা বলে পনেরো হাজার টাকা দিয়া বলে কিনি আনি নাগান? বাম হাত দি খা। খায় না। ওই টিউবলের পাড়ে পানি আসার কারণ কী জানেন? কেউ জায়গা দেয় না ভাই, কেউ না! তাইলে একন তাইলে আপনি বলেন কী করবেন, তাইলে? এলা মুই কং, এলা",rangpur,test
audio/test_rangpur_0003.wav,যে গোস্ত দিবার নন। আমি কয় না। ওমরা কয় গোস্ত পায় কোটে? গোস্ত আছে? ওমরায় কয়। যে গোস্ত আছে? <> কয় গোস্ত আছে ? ওমার গুলায় টেকা হামার গুলা টেকায় নোয়ায়...।,যে গোস্ত দিবার নন। আমি কয় না। ওমরা কয় গোস্ত পায় কোটে? গোস্ত আছে? ওমরায় কয়। যে গোস্ত আছে? কয় গোস্ত আছে ? ওমার গুলায় টেকা হামার গুলা টেকায় নোয়ায়...।,rangpur,test
audio/test_rangpur_0004.wav,<> ওমাকে আটে না। <> আক্কাস উয়ার বেটার বউ আছসে নাকি? না ঢাকাত মোউরি। তাইলে ...,ওমাকে আটে না। আক্কাস উয়ার বেটার বউ আছসে নাকি? না ঢাকাত মোউরি। তাইলে ...,rangpur,test
audio/test_rangpur_0005.wav,"ও! হাঁসের দাম বলে ঢাকাত একটা করি নয়শ। হাঁসের দাম কেনবা হটাৎ করি বাড়ি গেল! সেদিন দাম, ম্যাডাম ডাইকপার নাকচে, আয়, আয়, আয়, আয়। মুই কং, ক্যারে! হাঁস নিবার চাইবে নাকি?","ও! হাঁসের দাম বলে ঢাকাত একটা করি নয়শ। হাঁসের দাম কেনবা হটাৎ করি বাড়ি গেল! সেদিন দাম, ম্যাডাম ডাইকপার নাকচে, আয়, আয়, আয়, আয়। মুই কং, ক্যারে! হাঁস নিবার চাইবে নাকি?",rangpur,test
audio/test_rangpur_0006.wav,"হামারগুলা ইদোত দিবান্নাই। তোমার হাঁস কয়টা? নয়টা। নয়টা! বড় হইচে? বীতির মাও দুইটা নিবার চাইচে। তা হামাকো দেন তো দুইটা? কয় টাকা হয় দেমো এলা। মোক দুইটা দেইস ওই। ইয়া করিম এলা, কাটি কাটি এখান করি আন্দি আন্দি দিম এলা! কেন নয়টা আচে না? সবায় চায়, এলা কাক দেইম?","হামারগুলা ইদোত দিবান্নাই। তোমার হাঁস কয়টা? নয়টা। নয়টা! বড় হইচে? বীতির মাও দুইটা নিবার চাইচে। তা হামাকো দেন তো দুইটা? কয় টাকা হয় দেমো এলা। মোক দুইটা দেইস ওই। ইয়া করিম এলা, কাটি কাটি এখান করি আন্দি আন্দি দিম এলা! কেন নয়টা আচে না? সবায় চায়, এলা কাক দেইম?",rangpur,test
audio/test_rangpur_0007.wav,"মুই কি তোক কিনবার কইছোং? ধ্যান করি ক। তাইলে আলাপ, মুই আগোত কং নাই? <> কয়া দিনুং। হবে এলা। কথা বলি, আলাপ-আলোচনা <>","মুই কি তোক কিনবার কইছোং? ধ্যান করি ক। তাইলে আলাপ, মুই আগোত কং নাই? কয়া দিনুং। হবে এলা। কথা বলি, আলাপ-আলোচনা",rangpur,test
audio/test_rangpur_0008.wav,"এতোলা হাঁস <> হ বাবা, মুই কুনদিনে ইয়াক কইসোং, দুইটা হাঁস <> এরে বান্ধুবি তোর কি হইসে? কয়টা হাস? কার? মোর হাঁস নাই বাবা, আসিল মেলা হাঁস আসিল। <>আসে। নাই ওইলা সব মরি গেইসে। গরু, গরু কয়টা?","এতোলা হাঁস হ বাবা, মুই কুনদিনে ইয়াক কইসোং, দুইটা হাঁস এরে বান্ধুবি তোর কি হইসে? কয়টা হাস? কার? মোর হাঁস নাই বাবা, আসিল মেলা হাঁস আসিল। আসে। নাই ওইলা সব মরি গেইসে। গরু, গরু কয়টা?",rangpur,test
audio/test_rangpur_0009.wav,এ মাছ পাইসিস? গরু কয়টা? গরুতো চাইরখোনা। চাইরখোনা? তোমার মাছ ছাড়ি দিয়া লাভ কি? <> হ্যাঁ? আইসবে না <> সুরুজের ইয়া বেটির না? হুম। <> কয়টা? কাহোয় তো এক নোহায়। আবার গেইসে পরি? <> তিনোটায়? না...,এ মাছ পাইসিস? গরু কয়টা? গরুতো চাইরখোনা। চাইরখোনা? তোমার মাছ ছাড়ি দিয়া লাভ কি? হ্যাঁ? আইসবে না সুরুজের ইয়া বেটির না? হুম। কয়টা? কাহোয় তো এক নোহায়। আবার গেইসে পরি? তিনোটায়? না...,rangpur,test
audio/test_rangpur_0010.wav,"গাভিন এ হয় না। এখনা বাছুর নোয়া ছট ছিল <> তাইলে এমরা সবুজেরা আইসবের নয়? সবুজ, দেরি আসে বাবা। আসি কি করবে?","গাভিন এ হয় না। এখনা বাছুর নোয়া ছট ছিল তাইলে এমরা সবুজেরা আইসবের নয়? সবুজ, দেরি আসে বাবা। আসি কি করবে?",rangpur,test
audio/test_rangpur_0011.wav,"ঈদত আইসবার না? আইসে না, না আইসে। বউ তো বলে আইসবার দেয় না। ওমা কি করে উহার বউয়ে জানুক ওয় জানুক। এলায় ফির বেটির এত আদর। মাইনষের খবর। এলায় ফির <> নিন্দ আইসবে? মানষির খবর নিয়া লাভ আসে পাগলি, বেটা হউক আর বউ হউক। এ তোক না আইসবার দেয় না তুই ফির আচ্ছিস ক্যা? <>","ঈদত আইসবার না? আইসে না, না আইসে। বউ তো বলে আইসবার দেয় না। ওমা কি করে উহার বউয়ে জানুক ওয় জানুক। এলায় ফির বেটির এত আদর। মাইনষের খবর। এলায় ফির নিন্দ আইসবে? মানষির খবর নিয়া লাভ আসে পাগলি, বেটা হউক আর বউ হউক। এ তোক না আইসবার দেয় না তুই ফির আচ্ছিস ক্যা?",rangpur,test
audio/test_rangpur_0012.wav,"আইসবার দেয় না? না। উহার আম্মা না কয়দিন থাকি আইল। কয়দিন। আর এখনা কবে। <> দেখতো কেমন ঝগড়ি। ঝগড়ি নয় <> তোমরায় ঝগড়ি। ভালো না, ওগলা কওয়া যায় না ময়না। ওগুলা কতা কওয়া যায়।","আইসবার দেয় না? না। উহার আম্মা না কয়দিন থাকি আইল। কয়দিন। আর এখনা কবে। দেখতো কেমন ঝগড়ি। ঝগড়ি নয় তোমরায় ঝগড়ি। ভালো না, ওগলা কওয়া যায় না ময়না। ওগুলা কতা কওয়া যায়।",rangpur,test
audio/test_rangpur_0013.wav,অইগলা কওয়া যায় না। হামার জেবনে হইছে ওইভাবে <> তোমরা না কন তোমার নাতিক কন। বুড়ি মানুষটা কইবে? ওমা! বুড়ি মানুষটা কইবে? হা! হা! বুড়ি হইছোং!,অইগলা কওয়া যায় না। হামার জেবনে হইছে ওইভাবে তোমরা না কন তোমার নাতিক কন। বুড়ি মানুষটা কইবে? ওমা! বুড়ি মানুষটা কইবে? হা! হা! বুড়ি হইছোং!,rangpur,test
