file,transcript,transcript_clean,dialect,split
audio/test_narsingdi_0001.wav,"হান্ড্রেডও করছে দুইডা। আসলে ব্যাপারটা অইছে কী, একটা টিমে যহন প্লেয়ারগুলা সিলেক্ট করে, ওই রকম ক্যাটাগরি দেইখাই নেয়। আরে ভাই, যারা জাতীয় দ দলে আসে।","হান্ড্রেডও করছে দুইডা। আসলে ব্যাপারটা অইছে কী, একটা টিমে যহন প্লেয়ারগুলা সিলেক্ট করে, ওই রকম ক্যাটাগরি দেইখাই নেয়। আরে ভাই, যারা জাতীয় দ দলে আসে।",narsingdi,test
audio/test_narsingdi_0002.wav,"তারা তো ওই খারাপ খেইলাই আসে না। তারা ভালো, ওই লিগগুলাতে ভালো খেলে, ডোমিস্টিকে ভালো খেলে। পরেই তো ওদেরকে জাতীয় দলে ডাকা হয়। হ। কিন্তু, কী করবি ক? প্লেয়ার তো আর একটা দুইটা না। প্লেয়ার তো অনেক।","তারা তো ওই খারাপ খেইলাই আসে না। তারা ভালো, ওই লিগগুলাতে ভালো খেলে, ডোমিস্টিকে ভালো খেলে। পরেই তো ওদেরকে জাতীয় দলে ডাকা হয়। হ। কিন্তু, কী করবি ক? প্লেয়ার তো আর একটা দুইটা না। প্লেয়ার তো অনেক।",narsingdi,test
audio/test_narsingdi_0003.wav,"কারে রাইখা কারে সুযোগ দিবো? এটা তো ইন্ডিয়ার মতো হইয়া গেলো এখন। ইন্ডিয়াতে যেমন একটা প্লেয়ার একবার বসলে আর খুব সহজে দলে ঢুকতে কষ্ট হয়। বাংলাদেশেও এরকমই হইতাছে। হ, বাংলাদেশ ইদানিং তো ভালো খেলতেছে না? সবাই ভালো খেলতেছে। এই মাঝখানে শুধু ওই আফিফ।","কারে রাইখা কারে সুযোগ দিবো? এটা তো ইন্ডিয়ার মতো হইয়া গেলো এখন। ইন্ডিয়াতে যেমন একটা প্লেয়ার একবার বসলে আর খুব সহজে দলে ঢুকতে কষ্ট হয়। বাংলাদেশেও এরকমই হইতাছে। হ, বাংলাদেশ ইদানিং তো ভালো খেলতেছে না? সবাই ভালো খেলতেছে। এই মাঝখানে শুধু ওই আফিফ।",narsingdi,test
audio/test_narsingdi_0004.wav,"ফর্ম হারায়া ফেলছে। অনে আফিফরে বসাইয়া দিছে। কিন্তু অয় যহন ঢুকছে দলে, তহন থেইকা কিন্তু খুব ভালো খেলছে। তবে মামা, বাংলাদেশের মধ্যে মাশরাফিরে খুব মিস করি, বুচ্ছস? ও হইলো ক্যাপ্টেন্সি।","ফর্ম হারায়া ফেলছে। অনে আফিফরে বসাইয়া দিছে। কিন্তু অয় যহন ঢুকছে দলে, তহন থেইকা কিন্তু খুব ভালো খেলছে। তবে মামা, বাংলাদেশের মধ্যে মাশরাফিরে খুব মিস করি, বুচ্ছস? ও হইলো ক্যাপ্টেন্সি।",narsingdi,test
audio/test_narsingdi_0005.wav,"খুব ভালো ছিলো। এহন তো আছে, সাকিব আছে। তামিম আছে ওয়ানডে তে। এই আর কি! তবে যা-ই কস, মাশরাফির মতো ক্যাপ্টেন পাওয়া খুব কষ্টকর। হ রে।","খুব ভালো ছিলো। এহন তো আছে, সাকিব আছে। তামিম আছে ওয়ানডে তে। এই আর কি! তবে যা-ই কস, মাশরাফির মতো ক্যাপ্টেন পাওয়া খুব কষ্টকর। হ রে।",narsingdi,test
audio/test_narsingdi_0006.wav,"আরে, বাংলাদেশ অইলো বেডা দুর্নীতিতে ভরা। এই এক পাপ্পন দা দেখ, ওগো ফান্ডে নাকি দু নয়শো কোটি টাকা আছে। এই এত্তো টাকা দিয়া কী করবো? কিছু টাকা-পয়সা খরচ করলে তো ভালো।","আরে, বাংলাদেশ অইলো বেডা দুর্নীতিতে ভরা। এই এক পাপ্পন দা দেখ, ওগো ফান্ডে নাকি দু নয়শো কোটি টাকা আছে। এই এত্তো টাকা দিয়া কী করবো? কিছু টাকা-পয়সা খরচ করলে তো ভালো।",narsingdi,test
audio/test_narsingdi_0007.wav,"প্লেয়ারগুলা ওই একটু ভালো ভাবে তৈরি করা যায়। একটা লেগ স্পিনার নাই দেশে বেটা। অন্যান্য দেশে দেখ দুইডা, তিনডা কইরা লেগ স্পিনার থাকে। অস্ট্রলিয়াতে দেখ, এইযে এডাম জাম্পা। তারপরে হচ্ছে মাইকেল সেরসন। হেরা তো খুব ভালো লেগ স্পিনার। আফগানিস্তানের তো আছেই। লেগ স্পিনারই কয়েকটা।","প্লেয়ারগুলা ওই একটু ভালো ভাবে তৈরি করা যায়। একটা লেগ স্পিনার নাই দেশে বেটা। অন্যান্য দেশে দেখ দুইডা, তিনডা কইরা লেগ স্পিনার থাকে। অস্ট্রলিয়াতে দেখ, এইযে এডাম জাম্পা। তারপরে হচ্ছে মাইকেল সেরসন। হেরা তো খুব ভালো লেগ স্পিনার। আফগানিস্তানের তো আছেই। লেগ স্পিনারই কয়েকটা।",narsingdi,test
audio/test_narsingdi_0008.wav,"ইন্ডিয়াতে দেখ, এই চাহাল, রবি বিষ্ণুই, রাহুল <> ওরাও তো আছে। ওরা ভালো লেগ স্পিনার। বাংলাদেশে একটাও লেগ স্পিনার নাই। এই কয়দিন আগে রিশাদরে নিলো। কিন্তু।","ইন্ডিয়াতে দেখ, এই চাহাল, রবি বিষ্ণুই, রাহুল ওরাও তো আছে। ওরা ভালো লেগ স্পিনার। বাংলাদেশে একটাও লেগ স্পিনার নাই। এই কয়দিন আগে রিশাদরে নিলো। কিন্তু।",narsingdi,test
audio/test_narsingdi_0009.wav,"ওরে তো রাখছে মোটামুটি তিন চার বছর ধইরা দলের সাথে থাকতেছে। লেগ স্পিনারের অভাব পূরণ করতে পারতেছে না। এই প্লেয়ারগুলা লেগ স্পিনার, লেগ স্পিন বল খেলাইবো, তহন ওরে নিয়া যায়। ওরে লেগ স্পিন বল করাইয়া <> কিন্তু ওর লেগ স্পিনের সাথে তো বাইরের দেশের লেগ স্পিনারগো কোয়ালিটি মিলে না।","ওরে তো রাখছে মোটামুটি তিন চার বছর ধইরা দলের সাথে থাকতেছে। লেগ স্পিনারের অভাব পূরণ করতে পারতেছে না। এই প্লেয়ারগুলা লেগ স্পিনার, লেগ স্পিন বল খেলাইবো, তহন ওরে নিয়া যায়। ওরে লেগ স্পিন বল করাইয়া কিন্তু ওর লেগ স্পিনের সাথে তো বাইরের দেশের লেগ স্পিনারগো কোয়ালিটি মিলে না।",narsingdi,test
audio/test_narsingdi_0010.wav,"ওরা তো আরও হাই লেভেলের। সেজন্যই তো তারা লেগ স্পিন খেলতে গেলে সমস্যা হইয়া যায়। ঠিক আছে। তবে, তবে ইদানিংকালে ভালোই উন্নতি করছে।","ওরা তো আরও হাই লেভেলের। সেজন্যই তো তারা লেগ স্পিন খেলতে গেলে সমস্যা হইয়া যায়। ঠিক আছে। তবে, তবে ইদানিংকালে ভালোই উন্নতি করছে।",narsingdi,test
