file,transcript,transcript_clean,dialect,split
audio/test_noakhali_0001.wav,"একশো আশি। তারফর এই ইয়ানো নব্বই, দেড় কেজি। হ্যা? একশো আশি, নব্বই, দুইশো হইত্তর। ঠিক আছে নি? আর আশি <> হাড়ে তিনশো, হাড়ে তিনশো মোট। ও আল্লা! কিয়ারে? টমাটু নব্বই টাকা? নব্বই, এক কেজি আশি। ইগা হাইড। টমাটু দের কেজি। আর দইন্না মরিচ ইগুন তিরিশ। মোট হাইড, হইত্তর।","একশো আশি। তারফর এই ইয়ানো নব্বই, দেড় কেজি। হ্যা? একশো আশি, নব্বই, দুইশো হইত্তর। ঠিক আছে নি? আর আশি হাড়ে তিনশো, হাড়ে তিনশো মোট। ও আল্লা! কিয়ারে? টমাটু নব্বই টাকা? নব্বই, এক কেজি আশি। ইগা হাইড। টমাটু দের কেজি। আর দইন্না মরিচ ইগুন তিরিশ। মোট হাইড, হইত্তর।",noakhali,test
audio/test_noakhali_0002.wav,"বাব্বা! টমাটুর কেজি, টমাটুর সিজন নো। টমাটুর দাম কমে না কিল্লাই? <> কাইল আঙ্গো <> কয় কিয়ের কি আশি টিয়া। কা এত দাম বেশি কা? আবার হিরি এইয়া আইনছে। অন সিজন হিসেবে এগুলার দাম কমে না কিল্লাই? এটায়ে জানি না। বেগুন এগগা নি।","বাব্বা! টমাটুর কেজি, টমাটুর সিজন নো। টমাটুর দাম কমে না কিল্লাই? কাইল আঙ্গো কয় কিয়ের কি আশি টিয়া। কা এত দাম বেশি কা? আবার হিরি এইয়া আইনছে। অন সিজন হিসেবে এগুলার দাম কমে না কিল্লাই? এটায়ে জানি না। বেগুন এগগা নি।",noakhali,test
audio/test_noakhali_0003.wav,ওমাগো! ওই <>। ওয়া কার? ওয়া তাহামিনার। <>। বেগগুন বাইত,ওমাগো! ওই । ওয়া কার? ওয়া তাহামিনার। । বেগগুন বাইত,noakhali,test
audio/test_noakhali_0004.wav,"অ্যাতে বাজার করি আইনছে লাগে। কাঁধে লো। ঢাইলতাম? <>। হ্যাতাগো? ও, ও, ও।","অ্যাতে বাজার করি আইনছে লাগে। কাঁধে লো। ঢাইলতাম? । হ্যাতাগো? ও, ও, ও।",noakhali,test
audio/test_noakhali_0005.wav,ওই। হিগা কোই গেছে? সাদ যায় নো কিল্লাই?,ওই। হিগা কোই গেছে? সাদ যায় নো কিল্লাই?,noakhali,test
audio/test_noakhali_0006.wav,<> ও। বেগুন কোই আর নানু?,ও। বেগুন কোই আর নানু?,noakhali,test
audio/test_noakhali_0007.wav,"হাচাইত্তর টিয়া। কিয়ালা? এক্কই দিনে এত সবজি কিল্লাই কিনেন? বাইল লগে, তাজা তাজা লইতেন হাইত্তেন নো? এ হইত্তর। বাইল লগে এগিন বেচি হালাইলে, ও ফোলিতিন এইগগা দে। <>","হাচাইত্তর টিয়া। কিয়ালা? এক্কই দিনে এত সবজি কিল্লাই কিনেন? বাইল লগে, তাজা তাজা লইতেন হাইত্তেন নো? এ হইত্তর। বাইল লগে এগিন বেচি হালাইলে, ও ফোলিতিন এইগগা দে।",noakhali,test
audio/test_noakhali_0008.wav,"<> হইত্তোদিন কে এইয়া করে অ্যাতে। হ্যাতে কী? <> লই না। আর অ্যাতে বেচি হালাইলে অ্যাতারগুন ব্যাক <> ওই যায়। বুইজ্জত্তি ঘটনা? কাইলকা হ্যাতে আইনতো নো আবার? কাইলকা আইনতো নো আর। ইগিন কাইলও বেইচবো না, এতোগিন কি আইজ্জা এক্কইদিনে বেচা ওয় নি? কয়দিন হরে হরে আনে? আনে দুই দিন হরও আনে, তিন দিন হরও আনে। ঠিক নাই।","হইত্তোদিন কে এইয়া করে অ্যাতে। হ্যাতে কী? লই না। আর অ্যাতে বেচি হালাইলে অ্যাতারগুন ব্যাক ওই যায়। বুইজ্জত্তি ঘটনা? কাইলকা হ্যাতে আইনতো নো আবার? কাইলকা আইনতো নো আর। ইগিন কাইলও বেইচবো না, এতোগিন কি আইজ্জা এক্কইদিনে বেচা ওয় নি? কয়দিন হরে হরে আনে? আনে দুই দিন হরও আনে, তিন দিন হরও আনে। ঠিক নাই।",noakhali,test
audio/test_noakhali_0009.wav,ও। <> মানুষ কমি গেছে ক দিন। চাইশশো। মাগো! চাইশশো টাকার বাজার <> কিনছে আন্নে। তই কিত্তাম? <> আঁরে কিছু দেন না। কিয়া গো?,ও। মানুষ কমি গেছে ক দিন। চাইশশো। মাগো! চাইশশো টাকার বাজার কিনছে আন্নে। তই কিত্তাম? আঁরে কিছু দেন না। কিয়া গো?,noakhali,test
audio/test_noakhali_0010.wav,"ওজন নো? <> ফাতা কোফি <>। হাতা কোফি ইগায়ে দুই কেজি। <> খানা যায়, তরকারি এত খামু, আর কিয়া? <>","ওজন নো? ফাতা কোফি । হাতা কোফি ইগায়ে দুই কেজি। খানা যায়, তরকারি এত খামু, আর কিয়া?",noakhali,test
