file,transcript,transcript_clean,dialect,split
audio/test_tangail_0001.wav,"ব্যান্ড আর কি পারফর্ম করতাছে। কিন্তু মানে কেউ তেমন ই নাই, উচ্ছ্বসিত না। মানে গানডা তেমন কারো কাছে ভালো লাগতাছে না এইরকম। কিন্তু আবার ফ্রেডি মার্কিউরি খুব গান পছন্দ করতো। পরে যেহেতু ক্যারিয়ার একটা পছন্দ করতেই হবো।","ব্যান্ড আর কি পারফর্ম করতাছে। কিন্তু মানে কেউ তেমন ই নাই, উচ্ছ্বসিত না। মানে গানডা তেমন কারো কাছে ভালো লাগতাছে না এইরকম। কিন্তু আবার ফ্রেডি মার্কিউরি খুব গান পছন্দ করতো। পরে যেহেতু ক্যারিয়ার একটা পছন্দ করতেই হবো।",tangail,test
audio/test_tangail_0002.wav,"পরে ফ্রেডি মার্কিউডির ওই ব্যান্ডের দলে যোগ দেওয়ার জন্য ইচ্ছা করে। পরে, ওই ব্যান্ডের যে ভোকাল মানে ও আরকি একটু আগেই মানে ব্যান্ড থিকা বাইরয় গেছে, ও আর গান করবো না। পরে ব্যান্ডের যে বাকি সদস্য।","পরে ফ্রেডি মার্কিউডির ওই ব্যান্ডের দলে যোগ দেওয়ার জন্য ইচ্ছা করে। পরে, ওই ব্যান্ডের যে ভোকাল মানে ও আরকি একটু আগেই মানে ব্যান্ড থিকা বাইরয় গেছে, ও আর গান করবো না। পরে ব্যান্ডের যে বাকি সদস্য।",tangail,test
audio/test_tangail_0003.wav,"অরা তো আর ভোকালের এতো ই টি, মানে বুঝে আর কি কিন্তু ভোকাল তো একটা মেইন ই থাকে না? পরে অরা, অরে নিতে চায় নাই কারণ ও এর আগে গান-টান করে নাই।","অরা তো আর ভোকালের এতো ই টি, মানে বুঝে আর কি কিন্তু ভোকাল তো একটা মেইন ই থাকে না? পরে অরা, অরে নিতে চায় নাই কারণ ও এর আগে গান-টান করে নাই।",tangail,test
audio/test_tangail_0004.wav,"আর ফ্রেডির সামনের দাঁতগুলা আছিলো একটু বড়, মানে আমরা যে স্বাভাবিক মানুষগুলি দেহি দাঁত মানে দেহা যায় না বাইরের থিকা। কিন্তু ফ্রেডির সামনের উপরের দিকের দাঁতগুলা আছিলো একটু উঁচা আর বড়। তাই মানে দেখতে কটু লাগে।","আর ফ্রেডির সামনের দাঁতগুলা আছিলো একটু বড়, মানে আমরা যে স্বাভাবিক মানুষগুলি দেহি দাঁত মানে দেহা যায় না বাইরের থিকা। কিন্তু ফ্রেডির সামনের উপরের দিকের দাঁতগুলা আছিলো একটু উঁচা আর বড়। তাই মানে দেখতে কটু লাগে।",tangail,test
audio/test_tangail_0005.wav,মানে ভালোও দেহা যায় না। তাই অরা নিতে চাইছিলো না। কিন্তু এইডা ফ্রেডির মানে ফ্রেডির এইডা একটু আবার লাগে মানে সে একটু মন খারাপ করে। পরে সেও বুঝছে যে নিবো না। ও ঘুইরা যায় গা।,মানে ভালোও দেহা যায় না। তাই অরা নিতে চাইছিলো না। কিন্তু এইডা ফ্রেডির মানে ফ্রেডির এইডা একটু আবার লাগে মানে সে একটু মন খারাপ করে। পরে সেও বুঝছে যে নিবো না। ও ঘুইরা যায় গা।,tangail,test
audio/test_tangail_0006.wav,"কিন্তু ঘুইরা যাওয়ার পরেও আবার আইসা, যারা ওইযে অরা ব্যান্ডের যারা ইয়া থাকে অরা বইসা আছে। অগো সামনে একটা গানের দুইডা লাইন শুনাইয়া যায়। পরে অরা তো পুরা অবাক হইয়া যায়। অরা ভাবতেও পারে নাই যে এই রকম একটা ভয়েস অরা পাবো।","কিন্তু ঘুইরা যাওয়ার পরেও আবার আইসা, যারা ওইযে অরা ব্যান্ডের যারা ইয়া থাকে অরা বইসা আছে। অগো সামনে একটা গানের দুইডা লাইন শুনাইয়া যায়। পরে অরা তো পুরা অবাক হইয়া যায়। অরা ভাবতেও পারে নাই যে এই রকম একটা ভয়েস অরা পাবো।",tangail,test
audio/test_tangail_0007.wav,"আচ্ছা, তারপরে তো ও ব্যান্ডের সাথে যোগ দিলোই। আর ঠিক সময়েই ফ্রেডির সাথে আরেকজনের পরিচয় হয়, ম্যাডি।","আচ্ছা, তারপরে তো ও ব্যান্ডের সাথে যোগ দিলোই। আর ঠিক সময়েই ফ্রেডির সাথে আরেকজনের পরিচয় হয়, ম্যাডি।",tangail,test
audio/test_tangail_0008.wav,ফ্রেডি আর ম্যাডি একে অপরের প্রেমে পড়ে। আর অগর আসলে একটা পুশাক নিয়া কনভার্সেশন অইতে থাকে ওই সময়ে। ফ্রেডি আর ম্যাডির একটা আর কি কনভার্সেশন থিকাই অরা একে অপরের আর কি প্রেমের পড়ে। এইভাবে অনেক দিন যায়। এইদিকে ফ্রেডির নতুন ব্যান্ড নিয়া আরকি।,ফ্রেডি আর ম্যাডি একে অপরের প্রেমে পড়ে। আর অগর আসলে একটা পুশাক নিয়া কনভার্সেশন অইতে থাকে ওই সময়ে। ফ্রেডি আর ম্যাডির একটা আর কি কনভার্সেশন থিকাই অরা একে অপরের আর কি প্রেমের পড়ে। এইভাবে অনেক দিন যায়। এইদিকে ফ্রেডির নতুন ব্যান্ড নিয়া আরকি।,tangail,test
audio/test_tangail_0009.wav,"আগায় যাইতে থাকে, তারা বড় বড় ডিল করতে থাকে। নতুন নতুন এলব্লাম বাইর করতে থাকে। কুইন্সের একে একে পৃথিবীর কুইন্স ব্যান্ড যেডা থাকে একে একে পৃথিবীর বিভিন্ন দেশে কনসার্ট করতে থাকে।","আগায় যাইতে থাকে, তারা বড় বড় ডিল করতে থাকে। নতুন নতুন এলব্লাম বাইর করতে থাকে। কুইন্সের একে একে পৃথিবীর কুইন্স ব্যান্ড যেডা থাকে একে একে পৃথিবীর বিভিন্ন দেশে কনসার্ট করতে থাকে।",tangail,test
audio/test_tangail_0010.wav,"এ তো আর কনসার্ট যে করে অরা এক দেশ থেকে আরেক দেশ বিভিন্ন দেশে এইডাই মানে, অগো যে মেইন যে খ্যাতি এইডাই, মানে যে যতো বেশি কান্ট্রি কভার দিতে পারবো, রিচ করতে পারবো তার খ্যাতি ততো বেশি। এই সময়ে তার ক্যারিয়ার আর লাভ দুইডাই একসাথে চলতে থাকে।","এ তো আর কনসার্ট যে করে অরা এক দেশ থেকে আরেক দেশ বিভিন্ন দেশে এইডাই মানে, অগো যে মেইন যে খ্যাতি এইডাই, মানে যে যতো বেশি কান্ট্রি কভার দিতে পারবো, রিচ করতে পারবো তার খ্যাতি ততো বেশি। এই সময়ে তার ক্যারিয়ার আর লাভ দুইডাই একসাথে চলতে থাকে।",tangail,test
