file,transcript,transcript_clean,dialect,split
audio/test_sylhet_0001.wav,"<> হুম আরো, আরো কতা ওইছে যেছাই যেকুনু জিনিস আমরাও দেকি কিচ্চু একটা বানাইয়া দিলে সবে খাওয়া ওয়। খেও মজা খইলে কিন্তু বালা লাগে। ওনেক ওটাউ আরকি তান শখ। হুম। গরু তো বাদ। গরুউ বাদ দেইন না। তারা খইতে, খইতে <> ওখন আর যুগ রইলো নি গরু ফালার। হ্যাঁ।","হুম আরো, আরো কতা ওইছে যেছাই যেকুনু জিনিস আমরাও দেকি কিচ্চু একটা বানাইয়া দিলে সবে খাওয়া ওয়। খেও মজা খইলে কিন্তু বালা লাগে। ওনেক ওটাউ আরকি তান শখ। হুম। গরু তো বাদ। গরুউ বাদ দেইন না। তারা খইতে, খইতে ওখন আর যুগ রইলো নি গরু ফালার। হ্যাঁ।",sylhet,test
audio/test_sylhet_0002.wav,"<> এখ গতো এখটা গরু ফালছোইন মানে ওউ গরু খয় না নি? গাভি ওউ না জিও মানে বাচ্চা যে ওয় খালি নষ্ট ওই যায়। খালি নষ্ট ওই যায়। তেবু ওগুরে ফালছোইন। ওতা খরি, খরি মানে লস তো। দুধ তো যে সময় দুধ আছিল সেইল খরছোইন। দুধ সেইল খরতা।","এখ গতো এখটা গরু ফালছোইন মানে ওউ গরু খয় না নি? গাভি ওউ না জিও মানে বাচ্চা যে ওয় খালি নষ্ট ওই যায়। খালি নষ্ট ওই যায়। তেবু ওগুরে ফালছোইন। ওতা খরি, খরি মানে লস তো। দুধ তো যে সময় দুধ আছিল সেইল খরছোইন। দুধ সেইল খরতা।",sylhet,test
audio/test_sylhet_0003.wav,"বাট যখন দুধও দেয় না কিচ্ছু নায় ইগুরে ফালতে ফালতে তারা জিওয় আরকি। ওখন লন্ডন তানো বাই আইছোইন। ওলা কইন বাত,দুধ খাইতা। ওন তান বালা লাগে না। গরু না <> ছলা। লাস্টে এদিন বেছিয়া খালি খরছোইন। ওইযায় বাক্কা কয়েখ বছর।","বাট যখন দুধও দেয় না কিচ্ছু নায় ইগুরে ফালতে ফালতে তারা জিওয় আরকি। ওখন লন্ডন তানো বাই আইছোইন। ওলা কইন বাত,দুধ খাইতা। ওন তান বালা লাগে না। গরু না ছলা। লাস্টে এদিন বেছিয়া খালি খরছোইন। ওইযায় বাক্কা কয়েখ বছর।",sylhet,test
audio/test_sylhet_0004.wav,তে শেষ খরছোইন ওখন বুলে। খামোখা না নি ইগুর তলে মেহনত। আর যে মানে নিট এন্ড ক্লিন আরকি। গিয়া দেখবা মানুষ যেমন গুমাইতে ফারবো। গরু গর গরুর গর না। তারার গরোর লগেউ। আগে আছিল মানে যে সময় ছাছা তারার জাগা আলাদা ওইছে না। ওনো ফালছোইন। ওহন বাড়ির বিতরে ফারম না নি? যেছা আইলেউ গন্দ লাগে।,তে শেষ খরছোইন ওখন বুলে। খামোখা না নি ইগুর তলে মেহনত। আর যে মানে নিট এন্ড ক্লিন আরকি। গিয়া দেখবা মানুষ যেমন গুমাইতে ফারবো। গরু গর গরুর গর না। তারার গরোর লগেউ। আগে আছিল মানে যে সময় ছাছা তারার জাগা আলাদা ওইছে না। ওনো ফালছোইন। ওহন বাড়ির বিতরে ফারম না নি? যেছা আইলেউ গন্দ লাগে।,sylhet,test
audio/test_sylhet_0005.wav,সবো খইলা যে ফারম হরাইলাইতা। ওহ। ওউ বাদে হরাইয়া অন্য জাগাত নিছোইন। অন্য জাগাত নিলে ইলা আরো ইগোন তানে যাওয়া আওয়া যাওয়া। সবতা <> আস্তে আস্তে ছাড়াইয়া একটা <> জাগাত তাইন ফাললানে। ইটাও তো খেও বালা ফার না। তান গরো সবে খয় খালি আরকি। এখন আর বয়সো রইলো নি। আর ইগুর তলে মেহনত কিতা টাইম-টেবুল খানি। ফজর ওক্ত সময় উঠা। <> তাইন উঠোইন।,সবো খইলা যে ফারম হরাইলাইতা। ওহ। ওউ বাদে হরাইয়া অন্য জাগাত নিছোইন। অন্য জাগাত নিলে ইলা আরো ইগোন তানে যাওয়া আওয়া যাওয়া। সবতা আস্তে আস্তে ছাড়াইয়া একটা জাগাত তাইন ফাললানে। ইটাও তো খেও বালা ফার না। তান গরো সবে খয় খালি আরকি। এখন আর বয়সো রইলো নি। আর ইগুর তলে মেহনত কিতা টাইম-টেবুল খানি। ফজর ওক্ত সময় উঠা। তাইন উঠোইন।,sylhet,test
audio/test_sylhet_0006.wav,"<> এগুলির খানি দেওয়া ইগুর ইও খরা। <> গর ফরিষ্কার খরা এখন এগুলা করতে ইও <> মানে ইটার তলে আলাদা ইফোর্ট দেওয়া। ক্লিননেস কুবই। এমনে আমরাও যদি যাই হুম আমরাতো দরো, অব্যাস ওই গেছে গন্দ তেমন একটা লাগে না।","এগুলির খানি দেওয়া ইগুর ইও খরা। গর ফরিষ্কার খরা এখন এগুলা করতে ইও মানে ইটার তলে আলাদা ইফোর্ট দেওয়া। ক্লিননেস কুবই। এমনে আমরাও যদি যাই হুম আমরাতো দরো, অব্যাস ওই গেছে গন্দ তেমন একটা লাগে না।",sylhet,test
audio/test_sylhet_0007.wav,"এহন বাট এমনে তো সবো খয় গন্দ তো আর গন্দোউ। বাট এমনে ক্লিন। আমরাও যে যাই আই। মাইনষের গরু গর তো ইলা ক্লিন তাখে না। কারন ই সবসময় যা করোইন তো কুব যত্ন দিয়া করোইন। ইটাই। আগে তো মানুষ আছিল। দুইটা তিনটা হুম মানুষ আছিল, খরছে। ওখন তো আর একটাও। নিজেও খরোইন আর টুকটাক মাইনষে খরে।","এহন বাট এমনে তো সবো খয় গন্দ তো আর গন্দোউ। বাট এমনে ক্লিন। আমরাও যে যাই আই। মাইনষের গরু গর তো ইলা ক্লিন তাখে না। কারন ই সবসময় যা করোইন তো কুব যত্ন দিয়া করোইন। ইটাই। আগে তো মানুষ আছিল। দুইটা তিনটা হুম মানুষ আছিল, খরছে। ওখন তো আর একটাও। নিজেও খরোইন আর টুকটাক মাইনষে খরে।",sylhet,test
audio/test_sylhet_0008.wav,"আসলে ওনেক মজা। কইও ছাছিরে? খইমুনে ওই কেইক দেয় তারারে। কেইক দিলে না খেনে? কেইক আর ইগু কিতা দিতাম। আন্টি আর কিতা খাইতাম। না, না না, না <> ছুটোমুটো পিস ইকান তুমি এখন দুই পিস করতায়।","আসলে ওনেক মজা। কইও ছাছিরে? খইমুনে ওই কেইক দেয় তারারে। কেইক দিলে না খেনে? কেইক আর ইগু কিতা দিতাম। আন্টি আর কিতা খাইতাম। না, না না, না ছুটোমুটো পিস ইকান তুমি এখন দুই পিস করতায়।",sylhet,test
audio/test_sylhet_0009.wav,"<> কেমনে কিতা ওয় বিষয় <> কুনু গতকালকে নি আছিল না পরশুদিন? অ্যা। মানে কি রকম ফালোইন করোইন না করোইন আরকি। পূজা আরকি পূজার প্রতম দিন আমরা আগের দিন নিরামিষ খাইতে ওয়। মাস-বিস খাইতে ওয় না। আমিষ বুঝছেন? আঞ্চলিক বাষায় মাতোইন আন্টি সিলেটি ভাষায় কইন। আচ্চা, আচ্চা। ইও দিন পূজার প্রতম দিন আমরা নিরামিষ খাই। খাইয়া-টাইয়া প্রতমে পরের দিন ঘুম তাকি উঠিয়া","কেমনে কিতা ওয় বিষয় কুনু গতকালকে নি আছিল না পরশুদিন? অ্যা। মানে কি রকম ফালোইন করোইন না করোইন আরকি। পূজা আরকি পূজার প্রতম দিন আমরা আগের দিন নিরামিষ খাইতে ওয়। মাস-বিস খাইতে ওয় না। আমিষ বুঝছেন? আঞ্চলিক বাষায় মাতোইন আন্টি সিলেটি ভাষায় কইন। আচ্চা, আচ্চা। ইও দিন পূজার প্রতম দিন আমরা নিরামিষ খাই। খাইয়া-টাইয়া প্রতমে পরের দিন ঘুম তাকি উঠিয়া",sylhet,test
audio/test_sylhet_0010.wav,"স্নান-টান খরিয়া কিচ্চু না খাইয়া <> আমরা অঞ্জুলি প্রদান খরি আরকি ঠাকুরোর গাছে। মন্ত্র উচ্চারণ খরিয়া অঞ্জুলি প্রদান খইরা প্রসাদ খাওয়া অয়। ইদিন ইদিনো আমরা নিরামিষ খাই। আমিষ খাই না। দুইদিন খাওয়া অয়। আইচ্চা তে। আর <> বই-খাতা। বই, ঠাকুরোর খাছে বই নিবেদন দেওয়া অয়। বই, খাতা, খলম। ইদিন আমরা ফড়াশোনা <> অয় না।","স্নান-টান খরিয়া কিচ্চু না খাইয়া আমরা অঞ্জুলি প্রদান খরি আরকি ঠাকুরোর গাছে। মন্ত্র উচ্চারণ খরিয়া অঞ্জুলি প্রদান খইরা প্রসাদ খাওয়া অয়। ইদিন ইদিনো আমরা নিরামিষ খাই। আমিষ খাই না। দুইদিন খাওয়া অয়। আইচ্চা তে। আর বই-খাতা। বই, ঠাকুরোর খাছে বই নিবেদন দেওয়া অয়। বই, খাতা, খলম। ইদিন আমরা ফড়াশোনা অয় না।",sylhet,test
