file,transcript,transcript_clean,dialect,split
audio/test_chittagong_0001.wav,"বাড়িত তো হেইরহম হইতদি, ইতে আইলে ন মাতিয়ারে ফারে না তই? গ্যায়া গরিয়ারে? অ <> তারফরো আঁর লাই এক্কানা বেয়াককুনে গ্যায়া গরেদে। অ। তই, এয়া আইবু <> তোঁয়ারাত্তে ন জানলা দি হন হেউ দেহিলি মাতন ফরের, এক্কানা বেরাই দরন ফরের, হারণ","বাড়িত তো হেইরহম হইতদি, ইতে আইলে ন মাতিয়ারে ফারে না তই? গ্যায়া গরিয়ারে? অ তারফরো আঁর লাই এক্কানা বেয়াককুনে গ্যায়া গরেদে। অ। তই, এয়া আইবু তোঁয়ারাত্তে ন জানলা দি হন হেউ দেহিলি মাতন ফরের, এক্কানা বেরাই দরন ফরের, হারণ",chittagong,test
audio/test_chittagong_0002.wav,গ্রামর মানুষ অল এইললে। মারেম্মা। ইন চায় দে ইতারা। হারণ ইন মাতি আইসসি দি এহন ন মাতিলেও নিজরতুঅ হারাফ লায়। <> ন মাতিলি। তারফরো আঁর উইবার লয়ও এনে এতিক্কিন হইজ্জা ঝগড়া <> আঁর লয় কি এঁডে? আঁর লাই তো বেককুনে ফরান দি ফেলায়।,গ্রামর মানুষ অল এইললে। মারেম্মা। ইন চায় দে ইতারা। হারণ ইন মাতি আইসসি দি এহন ন মাতিলেও নিজরতুঅ হারাফ লায়। ন মাতিলি। তারফরো আঁর উইবার লয়ও এনে এতিক্কিন হইজ্জা ঝগড়া আঁর লয় কি এঁডে? আঁর লাই তো বেককুনে ফরান দি ফেলায়।,chittagong,test
audio/test_chittagong_0003.wav,"আঁর সাজিদে মাতেদে টাতেদে, ইবেরে তো বেয়াকগুনে চিনে আর চেহারা-সুরতও বাফর গেয়া দে ইয়্যান যে। উইতারে কেউ ন চিনে তো, ইবেরে কেউ দেহিলে আঁর ওয়ারে দেহিলে তই। অবা ইবারে তো গাইল দি দে, আঁই খইদে তুই মাইনষেরে সালাম টালাম দির ন ফারস? তই এনা ফুছত লইবু, খন ইবে? না না আঁর বড় দুনোউয়ারে এডে খোনোকেউ চিনেনা ভালা গরিয়েরে? আঁর গুরোউয়া সাজিদ্দযার ডইল্লা তো","আঁর সাজিদে মাতেদে টাতেদে, ইবেরে তো বেয়াকগুনে চিনে আর চেহারা-সুরতও বাফর গেয়া দে ইয়্যান যে। উইতারে কেউ ন চিনে তো, ইবেরে কেউ দেহিলে আঁর ওয়ারে দেহিলে তই। অবা ইবারে তো গাইল দি দে, আঁই খইদে তুই মাইনষেরে সালাম টালাম দির ন ফারস? তই এনা ফুছত লইবু, খন ইবে? না না আঁর বড় দুনোউয়ারে এডে খোনোকেউ চিনেনা ভালা গরিয়েরে? আঁর গুরোউয়া সাজিদ্দযার ডইল্লা তো",chittagong,test
audio/test_chittagong_0004.wav,"ইতে এই মাতা আর ওই মাতা গ্যায়া গরেদে, কেওরেত্তুন যাই ফান হাই আয়গই, কেওরেত্তুন ইয়ান হাই আয়গই। <> ন মাতিলে মাইনষে চিনেনা অবা তই? ইতে যায়গুই দে আঁর তে ইতিরে লই আঁর তে সমস্যা ন অয়তো।","ইতে এই মাতা আর ওই মাতা গ্যায়া গরেদে, কেওরেত্তুন যাই ফান হাই আয়গই, কেওরেত্তুন ইয়ান হাই আয়গই। ন মাতিলে মাইনষে চিনেনা অবা তই? ইতে যায়গুই দে আঁর তে ইতিরে লই আঁর তে সমস্যা ন অয়তো।",chittagong,test
audio/test_chittagong_0005.wav,"<> স্কুলুত তোঁয়ার, আঁর তে, অফিস টাইমত্তুন এহন তো আঁই তো এব্বেরে ন বই। এই সকালে এক্কানা গরি যাইয়েরে বইলি বই। তারফর বিতুরে যাই গই, এন্ডে যাইয়েরে ক্লাশ থাকে, ক্লাশে ক্লাশে যাইর গই। আই আই ফজরত আইয়েরে ফইলা দি ইতারাত ডুকির, অফিস রুমত মাইদ্দে গলা টানিয়ারে সাইব। ন দেহিদি ইনদি আঁই","স্কুলুত তোঁয়ার, আঁর তে, অফিস টাইমত্তুন এহন তো আঁই তো এব্বেরে ন বই। এই সকালে এক্কানা গরি যাইয়েরে বইলি বই। তারফর বিতুরে যাই গই, এন্ডে যাইয়েরে ক্লাশ থাকে, ক্লাশে ক্লাশে যাইর গই। আই আই ফজরত আইয়েরে ফইলা দি ইতারাত ডুকির, অফিস রুমত মাইদ্দে গলা টানিয়ারে সাইব। ন দেহিদি ইনদি আঁই",chittagong,test
audio/test_chittagong_0006.wav,"তো এহন আগে তো আটটা বাজে যাইতামগো বরাবর, তো এহন যাইদদে সোয়া আটটা, আটটা বিশে। এনডিললা গরি দেরি গরিয়েরে বাইর অই। ভালা অইয়ে। তো এহন গিয়া গরে, আয় আয় ওরে আরে নদেখিলে ""আফা কই?"" ""আফা কই?"", তোই এহন ওইবা বলে, প্রিয়াংকা বলে হইয়েদে,"" উনি একটু অসুস্থ, সেই জন্য আসে নাই""।","তো এহন আগে তো আটটা বাজে যাইতামগো বরাবর, তো এহন যাইদদে সোয়া আটটা, আটটা বিশে। এনডিললা গরি দেরি গরিয়েরে বাইর অই। ভালা অইয়ে। তো এহন গিয়া গরে, আয় আয় ওরে আরে নদেখিলে ""আফা কই?"" ""আফা কই?"", তোই এহন ওইবা বলে, প্রিয়াংকা বলে হইয়েদে,"" উনি একটু অসুস্থ, সেই জন্য আসে নাই""।",chittagong,test
audio/test_chittagong_0007.wav,"তো ইয়ান হইয়ে, তো আরে হদে, ""কি আফা, আপনার বলে কি অসুখ হইছে যে?""। আই হইদদে একটু অসুখ, এন হইদে, তই আই আসিয়রে গেয়িগই, আই তো ইতিরে ফঅল বানাইয়িদে, আরে হদদে, ধুরু উবা, আজিয়া হদে অনে কিললাই ইয়ততুন উইটটন হদে হইন নফারি হদে, এককানা হদে আইয়রে বইয়ুন সাই হদে, আর ডাকোতদি বই অইলে থাইককন হদে, আই জোয়াব দেতে দেতে হদে কুল নফাইর হদে।","তো ইয়ান হইয়ে, তো আরে হদে, ""কি আফা, আপনার বলে কি অসুখ হইছে যে?""। আই হইদদে একটু অসুখ, এন হইদে, তই আই আসিয়রে গেয়িগই, আই তো ইতিরে ফঅল বানাইয়িদে, আরে হদদে, ধুরু উবা, আজিয়া হদে অনে কিললাই ইয়ততুন উইটটন হদে হইন নফারি হদে, এককানা হদে আইয়রে বইয়ুন সাই হদে, আর ডাকোতদি বই অইলে থাইককন হদে, আই জোয়াব দেতে দেতে হদে কুল নফাইর হদে।",chittagong,test
audio/test_chittagong_0008.wav,"আই হদে, বই অ বই অ, আই হইদে, তোয়ারে বোয়াইদি তো <> এতললাই তুই আস্তে আস্তে তোয়ারেও <> ফঅল বানাইবো অনে, আই হইদে, ইতারারলাই সুন্দর গরি হতা হইলে সমস্যা। বাবা","আই হদে, বই অ বই অ, আই হইদে, তোয়ারে বোয়াইদি তো এতললাই তুই আস্তে আস্তে তোয়ারেও ফঅল বানাইবো অনে, আই হইদে, ইতারারলাই সুন্দর গরি হতা হইলে সমস্যা। বাবা",chittagong,test
audio/test_chittagong_0009.wav,"বউত গিয়া গইজজে বাজি গারডিয়ান অরে, আফা অনে আছনদেই, বা এতো কনসিডার গইততান দেই, গিয়া গইততানদেই এতললাই, <> তো শেষ কেন? মেহেরু কে ডেইলি দিচছ না? কি? <>","বউত গিয়া গইজজে বাজি গারডিয়ান অরে, আফা অনে আছনদেই, বা এতো কনসিডার গইততান দেই, গিয়া গইততানদেই এতললাই, তো শেষ কেন? মেহেরু কে ডেইলি দিচছ না? কি?",chittagong,test
audio/test_chittagong_0010.wav,"অ <> ছাব্বিশ তারিখ <> তুমি দেখোনা, স্লিপ আছে তো ওকানে, হ্যালো, এ দিয়ি <> তো?","অ ছাব্বিশ তারিখ তুমি দেখোনা, স্লিপ আছে তো ওকানে, হ্যালো, এ দিয়ি তো?",chittagong,test
