file,transcription,duration_sec
1.wav,এই পণ্যটির দাম কত?,2.3
2.wav,এই জামার সাইজ গুলো কী কী পাওয়া যায়?,3.43
3.wav,এই প্রোডাক্টটি কি স্টকে আছে?,2.86
4.wav,পণ্যটির রঙ কি পরিবর্তন করা যাবে?,3.46
5.wav,এই ফোনটির ব্যাটারি ব্যাকআপ কত ঘণ্টা?,3.43
6.wav,পণ্যটি কি অরিজিনাল নাকি কপি?,3.05
7.wav,এই প্রোডাক্টের ওয়ারেন্টি কত বছর?,3.14
8.wav,পণ্যটির ওজন কত?,2.04
9.wav,এই জুতার সোল কি ওয়াটারপ্রুফ?,3.1
10.wav,পণ্যটি কি হাতে ধোয়া যাবে?,2.62
11.wav,অর্ডার করলে কত দিনের মধ্যে ডেলিভারি পাব?,3.86
12.wav,ঢাকার বাইরে ডেলিভারি চার্জ কত?,3.29
13.wav,অর্ডার ক্যান্সেল করতে হলে কী করতে হবে?,3.65
14.wav,আমার অর্ডারটি এখন কোথায় আছে?,3.07
15.wav,ডেলিভারি কি বাড়িতে আসবে নাকি পিকআপ পয়েন্ট থেকে নিতে হবে?,4.82
16.wav,আজ অর্ডার করলে কি কাল পাব?,2.83
17.wav,এক্সপ্রেস ডেলিভারির অপশন আছে কি?,3.36
18.wav,অর্ডার দেওয়ার পরে ট্র্যাক করার সুবিধা আছে কি?,3.91
19.wav,কতটি পণ্য একসাথে অর্ডার করা যাবে?,3.41
20.wav,বিদেশে শিপিং করা হয় কি?,2.76
21.wav,মোবাইল ব্যাংকিংয়ে পেমেন্ট করা যাবে কি?,3.36
22.wav,ক্যাশ অন ডেলিভারির সুবিধা আছে কি?,3.31
23.wav,পণ্য পছন্দ না হলে কি ফেরত দেওয়া যাবে?,3.72
24.wav,রিটার্ন করলে টাকা কতদিনের মধ্যে ফেরত পাব?,3.98
25.wav,এক্সচেঞ্জের সুবিধা কি আছে?,2.66
26.wav,ডিসকাউন্ট কুপন কোথায় পাব?,2.74
27.wav,এমাউন্ট বেশি হলে কি কোনো ক্যাশব্যাক পাওয়া যায়?,3.79
28.wav,EMI তে পেমেন্ট করার অপশন আছে কি?,3.38
29.wav,ডেবিট কার্ডে পেমেন্ট করা যাবে কি?,3.22
30.wav,পণ্য ডেলিভারির সময় না থাকলে কী করব?,3.84
31.wav,এই ওষুধটি কি খালি পেটে খেতে হবে?,3.34
32.wav,ডাক্তারের অ্যাপয়েন্টমেন্ট কীভাবে নেব?,3.17
33.wav,জ্বর কত ডিগ্রি হলে ডাক্তার দেখানো দরকার?,3.82
34.wav,এই টেস্টটি করাতে কত খরচ হবে?,3.19
35.wav,রিপোর্ট পেতে কত দিন লাগবে?,2.71
36.wav,বাচ্চার টিকা কোন কোন বয়সে দিতে হয়?,3.65
37.wav,অনলাইনে কি ডাক্তারের পরামর্শ নেওয়া যায়?,3.55
38.wav,প্রেসক্রিপশন ছাড়া কি এই ওষুধ পাওয়া যায়?,3.65
39.wav,হাসপাতালের ভিজিটিং আওয়ার কখন?,3.05
40.wav,এই সার্জারির আনুমানিক খরচ কত?,3.26
41.wav,একটি নতুন ব্যাংক অ্যাকাউন্ট খুলতে কী কী লাগবে?,3.86
42.wav,লোনের জন্য আবেদন করতে হলে কী করতে হবে?,3.91
43.wav,ক্রেডিট কার্ডের বার্ষিক ফি কত?,3.02
44.wav,ফিক্সড ডিপোজিটে বর্তমান সুদের হার কত?,3.89
45.wav,আমার অ্যাকাউন্টে কত টাকা আছে তা কীভাবে দেখব?,4.03
46.wav,নেট ব্যাংকিং অ্যাক্টিভেট করতে কী করতে হবে?,3.79
47.wav,ব্যাংকের গ্রাহক সেবা নম্বরটা কত?,3.31
48.wav,চেক বই পেতে কত দিন লাগে?,2.78
49.wav,বিদেশে টাকা পাঠাতে কত চার্জ লাগে?,3.34
50.wav,অ্যাকাউন্ট বন্ধ করতে হলে কোথায় যেতে হবে?,3.7
51.wav,আপনাদের অফিস কি শনিবার খোলা থাকে?,3.41
52.wav,সার্ভিসটি পেতে কত দিন অপেক্ষা করতে হবে?,3.79
53.wav,অনলাইনে আবেদন করার লিংকটা কোথায় পাব?,3.67
54.wav,এই সুবিধাটি কি সবার জন্য প্রযোজ্য?,3.48
55.wav,আবেদন করতে গেলে কোন কোন কাগজপত্র লাগবে?,4.03
56.wav,সমস্যা হলে কার সাথে যোগাযোগ করব?,3.6
57.wav,এই সেবাটি কি বিনামূল্যে?,2.38
58.wav,অ্যাপয়েন্টমেন্ট কি ফোনে নেওয়া যাবে?,2.98
59.wav,আবেদনের স্ট্যাটাস কীভাবে জানব?,2.88
60.wav,এই ফর্মটি কোথায় পাব?,2.35
