file,transcript,transcript_clean,dialect,split
audio/test_comilla_0001.wav,"<> ওই সময় আনতে কইছি তাড়া আছে। <> আচ্ছা। অই সালাদ দে এতোটুকুই। আচ্ছা, এমনে ধরেন আগে যারা <> স্বর্ণকাররা যে হইছে যে ধরেন এই যে। হয় স্বর্নকার দো প্রচুর দাম হইছেগা। <>","ওই সময় আনতে কইছি তাড়া আছে। আচ্ছা। অই সালাদ দে এতোটুকুই। আচ্ছা, এমনে ধরেন আগে যারা স্বর্ণকাররা যে হইছে যে ধরেন এই যে। হয় স্বর্নকার দো প্রচুর দাম হইছেগা।",comilla,test
audio/test_comilla_0002.wav,"কোনো সময় এনো ভরি আমনের নব্বই, ফাচানব্বই হাজার ওইয়া যায়। মাইনসের আমরা দো গরীব স্বর্ণ, একটা রূপাই বালো কইরা পিনতে পারতাম না যে অবস্থা স্বর্ণের দাম। পাচানব্বই টেয়ারও ভরি আছে। অহনে রূপার মেয়েরার দো দাম খালি বাড়ে, খালি বাড়ে, খালি বাড়ই, খালি বাড়ে। ষাইড হাজার টেয়া থাইকা আশি হাজার, আশি হাজার তে নব্বই হাজার, নব্বই হাজার নব্বইর তে দো ফাচানব্বই হাজার। অহন মনে অয় ছাইগা এক লাখ হইয়া গেছেগা।","কোনো সময় এনো ভরি আমনের নব্বই, ফাচানব্বই হাজার ওইয়া যায়। মাইনসের আমরা দো গরীব স্বর্ণ, একটা রূপাই বালো কইরা পিনতে পারতাম না যে অবস্থা স্বর্ণের দাম। পাচানব্বই টেয়ারও ভরি আছে। অহনে রূপার মেয়েরার দো দাম খালি বাড়ে, খালি বাড়ে, খালি বাড়ই, খালি বাড়ে। ষাইড হাজার টেয়া থাইকা আশি হাজার, আশি হাজার তে নব্বই হাজার, নব্বই হাজার নব্বইর তে দো ফাচানব্বই হাজার। অহন মনে অয় ছাইগা এক লাখ হইয়া গেছেগা।",comilla,test
audio/test_comilla_0003.wav,এই নয় দিনে কি ইনকাম কি বাড়তেছে? <> ইনকাম দো কইত্তে বাড়ছে? ইনকাম দো এইটুকই। <> ইনকাম কি বাড়তেছে? ইনকাম তো আর তো বাড়ে না। এই সেইম এই ইনকাম নাই।,এই নয় দিনে কি ইনকাম কি বাড়তেছে? ইনকাম দো কইত্তে বাড়ছে? ইনকাম দো এইটুকই। ইনকাম কি বাড়তেছে? ইনকাম তো আর তো বাড়ে না। এই সেইম এই ইনকাম নাই।,comilla,test
audio/test_comilla_0004.wav,"প্রতিদিনের মতো ওইদিনও রুহি কে নিয়ে আমি স্কুলে গিয়েছিলাম। <> ওরে সবসময় আমি বাসা থাইকা স্কুলটা দশ মিনিটের দূরত্ব, দশ মিনিট না ছয়, সাত মিনিট আমার বাসা থাইকা রুহির স্কুলের দূরত্ব তাও আমি ওরে দিয়া যাই। আমার মতো সব মায়েরাই তাদের ছেলে-মেয়েদেরকে দেখা যায় গেট পর্যন্ত দিয়া আসে।","প্রতিদিনের মতো ওইদিনও রুহি কে নিয়ে আমি স্কুলে গিয়েছিলাম। ওরে সবসময় আমি বাসা থাইকা স্কুলটা দশ মিনিটের দূরত্ব, দশ মিনিট না ছয়, সাত মিনিট আমার বাসা থাইকা রুহির স্কুলের দূরত্ব তাও আমি ওরে দিয়া যাই। আমার মতো সব মায়েরাই তাদের ছেলে-মেয়েদেরকে দেখা যায় গেট পর্যন্ত দিয়া আসে।",comilla,test
audio/test_comilla_0005.wav,"তো ওইদিন আমিও গিয়েছিলাম। যেয়ে রুহিকে স্কুলে দিয়ে আমি আর দেরি করি নাই সাথে সাথে চলে আসছি। ও রুহিও তখন স্কুলে যাওয়ার পরে, ও ব্যাগ রাখার পরে, ও আবার দেখা যায় যে ওইযে ষোলোই ডিসেম্বরের যে ইয়া থাকে ওদের।","তো ওইদিন আমিও গিয়েছিলাম। যেয়ে রুহিকে স্কুলে দিয়ে আমি আর দেরি করি নাই সাথে সাথে চলে আসছি। ও রুহিও তখন স্কুলে যাওয়ার পরে, ও ব্যাগ রাখার পরে, ও আবার দেখা যায় যে ওইযে ষোলোই ডিসেম্বরের যে ইয়া থাকে ওদের।",comilla,test
audio/test_comilla_0006.wav,এই রিয়ার্সেল থাকে ষোলোই ডিসেম্বরের যে অনুষ্ঠান হবে ওইখানে যে পারফরম্যান্স করবে ওইগুলার উপরে ওদের রিয়ার্সেল থাকে। ওইখানে আবার দশ-পনেরো মিনিটের মতো রিয়ার্সেল করে নাচে। আইয়ো এই স্কুলের ভিতরেই আলাদা একটা রুম আছে ওই রুমে করে। তো রুহি প্রথমেই রুম থেকে বের হয়ে আবার ওদের স্কুলের মাঠের মদ্যে একটা দুলনা আছে।,এই রিয়ার্সেল থাকে ষোলোই ডিসেম্বরের যে অনুষ্ঠান হবে ওইখানে যে পারফরম্যান্স করবে ওইগুলার উপরে ওদের রিয়ার্সেল থাকে। ওইখানে আবার দশ-পনেরো মিনিটের মতো রিয়ার্সেল করে নাচে। আইয়ো এই স্কুলের ভিতরেই আলাদা একটা রুম আছে ওই রুমে করে। তো রুহি প্রথমেই রুম থেকে বের হয়ে আবার ওদের স্কুলের মাঠের মদ্যে একটা দুলনা আছে।,comilla,test
audio/test_comilla_0007.wav,ও মানে প্রথমে বের হইয়া গেছে দোলনার মদ্যে বসার জন্য। দোলনায় তো সবটা কথা আমি মুখেই শুনছি যে ও দোলনাতে যাইয়া প্রথমে বসতে লইছে। তো তখন ওর সাথে ছিল ওর আরেকটা ফ্রেন্ড। ওই ফ্রেন্ডটা আবার ওর মানে একদম ক্লোজ। একদম স্কুলের প্রথম দিন থেকে ওর সাথে বন্ধুত্ব হইছে।,ও মানে প্রথমে বের হইয়া গেছে দোলনার মদ্যে বসার জন্য। দোলনায় তো সবটা কথা আমি মুখেই শুনছি যে ও দোলনাতে যাইয়া প্রথমে বসতে লইছে। তো তখন ওর সাথে ছিল ওর আরেকটা ফ্রেন্ড। ওই ফ্রেন্ডটা আবার ওর মানে একদম ক্লোজ। একদম স্কুলের প্রথম দিন থেকে ওর সাথে বন্ধুত্ব হইছে।,comilla,test
audio/test_comilla_0008.wav,মেয়েটার নাম হচ্ছে নুসাইবা। এই নুসাইবার সাথে। নুসাইবা আর রুহি ওরা দুজনেই খেলা করতে-করতে দোলনার কাছে যায়। যাওয়ার পর নুসাইবা বলতেছে তোর তো নাচের রিয়ার্সেল আছে তুই এখন খেলা-ধুলা করিস না তুই রিয়ার্সেলে চলে যা। আমি এখানে দোলনাতে দোল খাই।,মেয়েটার নাম হচ্ছে নুসাইবা। এই নুসাইবার সাথে। নুসাইবা আর রুহি ওরা দুজনেই খেলা করতে-করতে দোলনার কাছে যায়। যাওয়ার পর নুসাইবা বলতেছে তোর তো নাচের রিয়ার্সেল আছে তুই এখন খেলা-ধুলা করিস না তুই রিয়ার্সেলে চলে যা। আমি এখানে দোলনাতে দোল খাই।,comilla,test
audio/test_comilla_0009.wav,"রুহি চাচ্ছিলো রুহি উঠতে কিন্তু নুসাইবা বলতাছে যে না আমি উঠি তুই যা তোর তো নাচের রিয়ার্সেল আছে। তো এক পর্যায় রুহি ভাবলো যে হ্যাঁ আমার তো নাচের রিয়ার্সেল যেতে হবে আমি চলে যাই, তুই দোলনা খা। দোল খা দোলনায়। তো রুহি ওকে ছেড়ে দিয়ে।","রুহি চাচ্ছিলো রুহি উঠতে কিন্তু নুসাইবা বলতাছে যে না আমি উঠি তুই যা তোর তো নাচের রিয়ার্সেল আছে। তো এক পর্যায় রুহি ভাবলো যে হ্যাঁ আমার তো নাচের রিয়ার্সেল যেতে হবে আমি চলে যাই, তুই দোলনা খা। দোল খা দোলনায়। তো রুহি ওকে ছেড়ে দিয়ে।",comilla,test
audio/test_comilla_0010.wav,"রুহি গেলো নাচে রিয়ার্সেলে। রিয়ার্সেল রুমে যাওয়ার পরে টিচাররা বলতেছে আজকে ব্লুটুথে চার্জ নাই, আজকে তোমাদের রিয়ার্সেল হবে না চলে যাও। তো রুহি তো অনেক খুশি। ওই খুশি ওইয়া আবার স্কুলের মাঠে আবার যেখানে দোলনাটা ওইখানে ফিরছে।","রুহি গেলো নাচে রিয়ার্সেলে। রিয়ার্সেল রুমে যাওয়ার পরে টিচাররা বলতেছে আজকে ব্লুটুথে চার্জ নাই, আজকে তোমাদের রিয়ার্সেল হবে না চলে যাও। তো রুহি তো অনেক খুশি। ওই খুশি ওইয়া আবার স্কুলের মাঠে আবার যেখানে দোলনাটা ওইখানে ফিরছে।",comilla,test
