file,transcript,transcript_clean,dialect,split
audio/test_narail_0001.wav,ওই যে কি ভালো এট্টা নাম জানু। আমরাতো ভাবতাম ওর চাহোর। তা যেই বিয়ে ওইরে ওঠলো সেহেন্তে ঠিক ফালাম যে আলাদা শরিক। কি ভালো এট্টা নাম জ্যানু। তিন শরিকির শরিক।,ওই যে কি ভালো এট্টা নাম জানু। আমরাতো ভাবতাম ওর চাহোর। তা যেই বিয়ে ওইরে ওঠলো সেহেন্তে ঠিক ফালাম যে আলাদা শরিক। কি ভালো এট্টা নাম জ্যানু। তিন শরিকির শরিক।,narail,test
audio/test_narail_0002.wav,"বাগাইনে বাছাড়, ফুইলেসশর, নৃপেন বাছাড় আর ওই যে এট্টা কি নাম জ্যানু। ফুইলেসশরের ভাইর বিটা। বুইছো? কি ভালো নাম। ফুইলেসশরের জমি তাও তো তোর বাবা এই টাহা-ফয়সা দিয়ে।","বাগাইনে বাছাড়, ফুইলেসশর, নৃপেন বাছাড় আর ওই যে এট্টা কি নাম জ্যানু। ফুইলেসশরের ভাইর বিটা। বুইছো? কি ভালো নাম। ফুইলেসশরের জমি তাও তো তোর বাবা এই টাহা-ফয়সা দিয়ে।",narail,test
audio/test_narail_0003.wav,নেছে। তা তো সাইরে সুইরে নি নাই। উরা এওনে ভয়তে আছে। আমি যে জমি যে ধরিছি। ওগে কানে গেছে। এবার আমারে ডাইহে কচ্ছে কি যে এরকম ভাডি জমি তো আমরা খাচ্ছিলাম।,নেছে। তা তো সাইরে সুইরে নি নাই। উরা এওনে ভয়তে আছে। আমি যে জমি যে ধরিছি। ওগে কানে গেছে। এবার আমারে ডাইহে কচ্ছে কি যে এরকম ভাডি জমি তো আমরা খাচ্ছিলাম।,narail,test
audio/test_narail_0004.wav,ম্যালা আগেত্তে কাকা আমাগে দিয়ে গেছেলো। এই জমি নিয়ে কি ঝামেলা-টামেলা করবানে নেকি? আমি কচ্ছি ভাই ঝামেলা আমিতো আর কিছু বুঝি-টুঝি না। আমি দেহি জায়গা জমি কি অবস্থায় আছে। তারফরে খাচ্ছেন খান আমি তাই কইছি। তারফরে দ্যাখফানি। তাহরে আমি কইছি আমি তো এগুলো কত্তিছি না। কত্তিছে এক কাগা। কাগারে দিছি।,ম্যালা আগেত্তে কাকা আমাগে দিয়ে গেছেলো। এই জমি নিয়ে কি ঝামেলা-টামেলা করবানে নেকি? আমি কচ্ছি ভাই ঝামেলা আমিতো আর কিছু বুঝি-টুঝি না। আমি দেহি জায়গা জমি কি অবস্থায় আছে। তারফরে খাচ্ছেন খান আমি তাই কইছি। তারফরে দ্যাখফানি। তাহরে আমি কইছি আমি তো এগুলো কত্তিছি না। কত্তিছে এক কাগা। কাগারে দিছি।,narail,test
audio/test_narail_0005.wav,উনি কত্তিছে। ফুইলেসশরের জমি ফুইলেসশরের জমি থুইয়ে ওইভাবে ফুইলেসশর। তা সেইভল জমি <> অতো তো জানি নেকি। তোগে ঘরের খবর আমরা কি এইরে জানবো? তুই তাই ক।,উনি কত্তিছে। ফুইলেসশরের জমি ফুইলেসশরের জমি থুইয়ে ওইভাবে ফুইলেসশর। তা সেইভল জমি অতো তো জানি নেকি। তোগে ঘরের খবর আমরা কি এইরে জানবো? তুই তাই ক।,narail,test
audio/test_narail_0006.wav,মনে কল্লিও তো আসতো কতো তাই শুনতাম। মানষির সামনে। তা তোগে ঘরের অতো খবর আমরা কি তোর বাবা কি কইছে নাকি যে এই জমিতি এই ওই জমিতি ওই। এসব তো আমাগে কইছে নাকি? আমরা জানবো? এতো এই যে এগে জমি-জাতি ইরা খাইছে। কিনিছে। এইযে মনে কইল্লে জমিডা এওনে এইনতে একজন কিনতিছে।,মনে কল্লিও তো আসতো কতো তাই শুনতাম। মানষির সামনে। তা তোগে ঘরের অতো খবর আমরা কি তোর বাবা কি কইছে নাকি যে এই জমিতি এই ওই জমিতি ওই। এসব তো আমাগে কইছে নাকি? আমরা জানবো? এতো এই যে এগে জমি-জাতি ইরা খাইছে। কিনিছে। এইযে মনে কইল্লে জমিডা এওনে এইনতে একজন কিনতিছে।,narail,test
audio/test_narail_0007.wav,"অই যে নিতাই কিনতিছে। এই যে তকী কিনিছে। ওই যে আরেক মিয়া কিনিছে। আমরা দেখতিছি, জানি। ওই আলোচনা হইছে। থাকতাম তাই শুনতাম। ওই জমি কিন্তু ফুইলেসশরের ওইনে আছে। এ বড় ভাই বইলে কইছে টাহা ফাটাইছে বাবার চিগিসসার জন্নি?","অই যে নিতাই কিনতিছে। এই যে তকী কিনিছে। ওই যে আরেক মিয়া কিনিছে। আমরা দেখতিছি, জানি। ওই আলোচনা হইছে। থাকতাম তাই শুনতাম। ওই জমি কিন্তু ফুইলেসশরের ওইনে আছে। এ বড় ভাই বইলে কইছে টাহা ফাটাইছে বাবার চিগিসসার জন্নি?",narail,test
audio/test_narail_0008.wav,তা সে টাহা তো তোর মাসির ছল দি নেই। তায় কি অরবো? মাইসেতো ছলরে তো কলাম। মাইসেতো ছলরে সরাসরি কতি কইছি। মাইসোর ছলরে ও তো কয়ে দেছে আমি টাহা পয়সা বাবারে চিগিসসা অত্তি কোনোদিন <> না সুমন বইলে এরকম কিছু কই নাই। সুমন নিজি কইছে আমি শুনিছি। সুমন আমি মাইসোতো ভাইরে ফোন দিছিলাম,তা সে টাহা তো তোর মাসির ছল দি নেই। তায় কি অরবো? মাইসেতো ছলরে তো কলাম। মাইসেতো ছলরে সরাসরি কতি কইছি। মাইসোর ছলরে ও তো কয়ে দেছে আমি টাহা পয়সা বাবারে চিগিসসা অত্তি কোনোদিন না সুমন বইলে এরকম কিছু কই নাই। সুমন নিজি কইছে আমি শুনিছি। সুমন আমি মাইসোতো ভাইরে ফোন দিছিলাম,narail,test
audio/test_narail_0009.wav,আমি কলাম যে কি এরিছেন টাহা ফয়সা? টাহা ফয়সা তো আমরা ফাইছি দশ হাজার টাহা। তা শুনলাম যে এতো টাহা। কতো টাহা দেচ্ছে আমাগে। চিগিসসা হতি। এই টাহা ফয়সা তালি কি অলো? আফনি খাইছেন নালি আমরা খাইছি। কচ্ছে তালি তুই লাইনি থাক। আমারে লাইনি থাইহে মনির সাথে কথা কলো। মনির সাথে কথা কইয়ে কচ্ছে যে,আমি কলাম যে কি এরিছেন টাহা ফয়সা? টাহা ফয়সা তো আমরা ফাইছি দশ হাজার টাহা। তা শুনলাম যে এতো টাহা। কতো টাহা দেচ্ছে আমাগে। চিগিসসা হতি। এই টাহা ফয়সা তালি কি অলো? আফনি খাইছেন নালি আমরা খাইছি। কচ্ছে তালি তুই লাইনি থাক। আমারে লাইনি থাইহে মনির সাথে কথা কলো। মনির সাথে কথা কইয়ে কচ্ছে যে,narail,test
audio/test_narail_0010.wav,মনি কচ্ছে না আমি তো এরকম কোনো কথা কই নাই। আমি তো এরকম কোনো কথা বলি নাই। আমি এরকম টাকা পয়সার ব্যাপারে কোনো কথা বলি নাই। বলি নাই। আমি শুনতিছিলাম। আমি শুনিছি। ও কচ্ছে যে তালি তুই শোন তালি আমি চোর হয়ে যাচ্ছি। তালি তুই শোন। হয় এডা সত্যি কথা। ও কচ্ছে আমি তো চোর হয়ে যাচ্ছি তালি। ও তো ও নিজিই তো কইছে এই সরজিৎরে টাহা ফয়সার কথা কলি কয় কি যে,মনি কচ্ছে না আমি তো এরকম কোনো কথা কই নাই। আমি তো এরকম কোনো কথা বলি নাই। আমি এরকম টাকা পয়সার ব্যাপারে কোনো কথা বলি নাই। বলি নাই। আমি শুনতিছিলাম। আমি শুনিছি। ও কচ্ছে যে তালি তুই শোন তালি আমি চোর হয়ে যাচ্ছি। তালি তুই শোন। হয় এডা সত্যি কথা। ও কচ্ছে আমি তো চোর হয়ে যাচ্ছি তালি। ও তো ও নিজিই তো কইছে এই সরজিৎরে টাহা ফয়সার কথা কলি কয় কি যে,narail,test
