file,transcript,transcript_clean,dialect,split
audio/test_habiganj_0001.wav,<> খদিন ফরে ফইল্লেও লইয়া আইবোনে। নাতিন আর নাতিন <> খার সাতে গেছিলা? <> লোকড়া,খদিন ফরে ফইল্লেও লইয়া আইবোনে। নাতিন আর নাতিন খার সাতে গেছিলা? লোকড়া,habiganj,test
audio/test_habiganj_0002.wav,"জায়েদ মেম্বারের ফুরিও, দশ-বারোদিন ওইয়া গেছিগা। <> না তানজিরে আনন সহজ হইছে খারন তানজি তো মাইনর। আমি ইডা খইতাছি না, খইতাছি লোকরার ফুলাইন ছাড়া আর কুনু ফুলাইন <> তে অখন সব ফুইরাইন লোকরা কেরে যায়?","জায়েদ মেম্বারের ফুরিও, দশ-বারোদিন ওইয়া গেছিগা। না তানজিরে আনন সহজ হইছে খারন তানজি তো মাইনর। আমি ইডা খইতাছি না, খইতাছি লোকরার ফুলাইন ছাড়া আর কুনু ফুলাইন তে অখন সব ফুইরাইন লোকরা কেরে যায়?",habiganj,test
audio/test_habiganj_0003.wav,"<> অঙ্গো আফনেদে খইন সাথে যাওনডা তো সম্মানেরওই, জামাইয়ে সাথে খইরা লইয়া যায়। আমারে খইছে তইদুলে, তইদুলে তো <> ফড়াইতো। <> যেডা অখন যেডা বিয়ার বয়স। <>","অঙ্গো আফনেদে খইন সাথে যাওনডা তো সম্মানেরওই, জামাইয়ে সাথে খইরা লইয়া যায়। আমারে খইছে তইদুলে, তইদুলে তো ফড়াইতো। যেডা অখন যেডা বিয়ার বয়স।",habiganj,test
audio/test_habiganj_0004.wav,<> ইডা স্যারের জিগানি,ইডা স্যারের জিগানি,habiganj,test
audio/test_habiganj_0005.wav,"বেশি খরা দিখ্যোই, বেশি খরা দিখ্যোই মনয় বেডায় মানে না। <> বাফরে মনয় ডরায় বেশি, মারে মানে না। <> ইকটু জায়গা তাকতোইবো না ছেলে-মেয়ে খতা খইবার। ইডা একবারে বেশি, অতো বেশি <> মা তো ইতা বুঝে না, মা তো সারাদিন খাম-খাজ লইয়া <>","বেশি খরা দিখ্যোই, বেশি খরা দিখ্যোই মনয় বেডায় মানে না। বাফরে মনয় ডরায় বেশি, মারে মানে না। ইকটু জায়গা তাকতোইবো না ছেলে-মেয়ে খতা খইবার। ইডা একবারে বেশি, অতো বেশি মা তো ইতা বুঝে না, মা তো সারাদিন খাম-খাজ লইয়া",habiganj,test
audio/test_habiganj_0006.wav,"<> ওও মেডাম, একদিনে তিনজন গেছে। অ্যা! আরেগলা কেডা? ওই বাজারের দারে দিদাইরা বেডার ফুরি। ওওমাই ছিনচি।","ওও মেডাম, একদিনে তিনজন গেছে। অ্যা! আরেগলা কেডা? ওই বাজারের দারে দিদাইরা বেডার ফুরি। ওওমাই ছিনচি।",habiganj,test
audio/test_habiganj_0007.wav,"<> নামটা জানি কিতা? <> মেম্বারিও গাইছে এখবার। <> আজকে শিউলিরে দেইক্কা মনে ওইছে। রুপবানু? ওয়। ও আইচ্ছা, ই বেটির ফুরি বুঝি? আমি দি ছিনি না। ই বেটির বাফের বাড়ি ওইলো <>","নামটা জানি কিতা? মেম্বারিও গাইছে এখবার। আজকে শিউলিরে দেইক্কা মনে ওইছে। রুপবানু? ওয়। ও আইচ্ছা, ই বেটির ফুরি বুঝি? আমি দি ছিনি না। ই বেটির বাফের বাড়ি ওইলো",habiganj,test
audio/test_habiganj_0008.wav,আমি বেশি খইরা ছিনি কেম্নে? আমরা বাসার দারে ই বেডির ভাই বিদেশ তিকা আইছে তাকছিলো বউরে লইয়া খয়েকদিন ভাড়া। <> বউটা বালা। <> আর তিনডা গেছে তো গেছে তিনোডোই লোকরা গেছে।,আমি বেশি খইরা ছিনি কেম্নে? আমরা বাসার দারে ই বেডির ভাই বিদেশ তিকা আইছে তাকছিলো বউরে লইয়া খয়েকদিন ভাড়া। বউটা বালা। আর তিনডা গেছে তো গেছে তিনোডোই লোকরা গেছে।,habiganj,test
audio/test_habiganj_0009.wav,"না গো জানি না। তানজি যে গেছে, তানজি ওই লোকরা ফ্যারেশকারের ফোলার সাতে। <> লোকরা ফ্যারেশকার বেডার সাতটা ফুরি না? আর ফোলাডা ওইছে গিয়া সবাইর ছুডু, ই ফোলার সাতে গেছে। ফ্যারেশকারের ফোলার সাতে? ওয়। ফোলাও ছুডু, ফুরিও ছুডু অখন এরার বিয়া ওইবো কেম্নে? <>","না গো জানি না। তানজি যে গেছে, তানজি ওই লোকরা ফ্যারেশকারের ফোলার সাতে। লোকরা ফ্যারেশকার বেডার সাতটা ফুরি না? আর ফোলাডা ওইছে গিয়া সবাইর ছুডু, ই ফোলার সাতে গেছে। ফ্যারেশকারের ফোলার সাতে? ওয়। ফোলাও ছুডু, ফুরিও ছুডু অখন এরার বিয়া ওইবো কেম্নে?",habiganj,test
audio/test_habiganj_0010.wav,"<> অ্যা মনয় হাই-ইস্কুলো ফড়ে <> খোদা, ছুডুনু খও, ছুডু ওইলে তো হাই-ইস্কুলো <> অ্যা এর সাত বোইনের ছুটু, অ্যা আর খতো বড়ো ওইবো। এরফরে ইলার <> সরখারি ছাকরি দেইখ্যা জামাইরে <> অখন বা এরটাইন দিবো।","অ্যা মনয় হাই-ইস্কুলো ফড়ে খোদা, ছুডুনু খও, ছুডু ওইলে তো হাই-ইস্কুলো অ্যা এর সাত বোইনের ছুটু, অ্যা আর খতো বড়ো ওইবো। এরফরে ইলার সরখারি ছাকরি দেইখ্যা জামাইরে অখন বা এরটাইন দিবো।",habiganj,test
audio/test_habiganj_0011.wav,<> না এর বয়স ওইতো আর এরে বিদেশ ফাডাইবো। ওও। ইতালি ফাডাইতো। তে ইডা ফরে তাকবোনি? <> মোডাইল্লা বিস্কুট কেরে আনলাম? খষ্ট ফাইও না <> আমি খই না আমি আনতাম আছলাম ওই বিস্কিট <> সিঙ্গারা আনছি না আরকি।,না এর বয়স ওইতো আর এরে বিদেশ ফাডাইবো। ওও। ইতালি ফাডাইতো। তে ইডা ফরে তাকবোনি? মোডাইল্লা বিস্কুট কেরে আনলাম? খষ্ট ফাইও না আমি খই না আমি আনতাম আছলাম ওই বিস্কিট সিঙ্গারা আনছি না আরকি।,habiganj,test
audio/test_habiganj_0012.wav,"<> আমি আজকে মাংসের মাইঝে খামর দিয়া সাইরা বেসাবা অবস্থায় আছি, এরলাইগা ছাবাইতারতাছি না। <>","আমি আজকে মাংসের মাইঝে খামর দিয়া সাইরা বেসাবা অবস্থায় আছি, এরলাইগা ছাবাইতারতাছি না।",habiganj,test
audio/test_habiganj_0013.wav,"যেই অবস্থা খরছে <> আমি বুইজ্জা ফাইনা কেরে লোকরা কিতা ফাইছে এরা? এরা কেরে খালি সবাই লোকরা যায়? ইস্কুলো তাকতে ওত্তোই <> কেরে খালি এরা লোকরা যায়? শিউলে তো দেখছে না। যেরার বাফ বেশি খরা, এরার ফুইরাইনওই <>","যেই অবস্থা খরছে আমি বুইজ্জা ফাইনা কেরে লোকরা কিতা ফাইছে এরা? এরা কেরে খালি সবাই লোকরা যায়? ইস্কুলো তাকতে ওত্তোই কেরে খালি এরা লোকরা যায়? শিউলে তো দেখছে না। যেরার বাফ বেশি খরা, এরার ফুইরাইনওই",habiganj,test
