file,transcript,transcript_clean,dialect,split
audio/test_sandwip_0001.wav,"আর দুই-তিন দিন বাদে আইবো আর <> এডে যাইবো গৈ, কইছে নে? ফলি কইছে, দাওয়াত খাইবো নাকি? অন আর খাইতো ন, হ ও ভালো অইছে অন টিয়াঁ-হইসা নাই, অ্যা বাচি গেছেন, বাচি গেছি আইবো ভাই আইবো ছ মাস হরে, বইনের জামাই আইবো। ছ-সাত মাস হরে জামাই লই আইবো ইয়ারগোরে লই","আর দুই-তিন দিন বাদে আইবো আর এডে যাইবো গৈ, কইছে নে? ফলি কইছে, দাওয়াত খাইবো নাকি? অন আর খাইতো ন, হ ও ভালো অইছে অন টিয়াঁ-হইসা নাই, অ্যা বাচি গেছেন, বাচি গেছি আইবো ভাই আইবো ছ মাস হরে, বইনের জামাই আইবো। ছ-সাত মাস হরে জামাই লই আইবো ইয়ারগোরে লই",sandwip,test
audio/test_sandwip_0002.wav,"হুম, আই দাওয়াত খাইবো। খাইবো অনকা তো বুজি <> হবে ইনশাআল্লাহ <> কম খরচ কচ্চে নে এন্নে, বিয়া-সাদি হইতে <>বাইত আইছে বলে, কোনো টিয়াঁ ল ন <> মাইনষে দাওয়াত দিছে গেছে","হুম, আই দাওয়াত খাইবো। খাইবো অনকা তো বুজি হবে ইনশাআল্লাহ কম খরচ কচ্চে নে এন্নে, বিয়া-সাদি হইতে বাইত আইছে বলে, কোনো টিয়াঁ ল ন মাইনষে দাওয়াত দিছে গেছে",sandwip,test
audio/test_sandwip_0003.wav,"এন্নে বিয়া-সাদি চুয়াইছে, ঘরে সংসারও চইলছে, হুম, বেশি থাইকলে বেশি খরচ করে এন্নে। কি লইবেন জামাই গেলে হেসমকা? এইচ্চান অনকা মনে করেন হল-হ্রুট আছে যাইতে অইলে","এন্নে বিয়া-সাদি চুয়াইছে, ঘরে সংসারও চইলছে, হুম, বেশি থাইকলে বেশি খরচ করে এন্নে। কি লইবেন জামাই গেলে হেসমকা? এইচ্চান অনকা মনে করেন হল-হ্রুট আছে যাইতে অইলে",sandwip,test
audio/test_sandwip_0004.wav,"হুম, হাক্কন হিডা ন নি হারা যাইবো নে? এক্কবারে এ উছিলা এক্কেবারে তিন-চাইর বারকোশ লই যাইলে গৈ <> হিডা হাক্কন হিডা, আর বাজার এক বারকোশ লইলে, চাইর-হাচ বারকোশ ভরাই লইতে অইবো, হুম, এক্কেবারে সারি যাইবো গৈ","হুম, হাক্কন হিডা ন নি হারা যাইবো নে? এক্কবারে এ উছিলা এক্কেবারে তিন-চাইর বারকোশ লই যাইলে গৈ হিডা হাক্কন হিডা, আর বাজার এক বারকোশ লইলে, চাইর-হাচ বারকোশ ভরাই লইতে অইবো, হুম, এক্কেবারে সারি যাইবো গৈ",sandwip,test
audio/test_sandwip_0005.wav,"আম-কাডল <> ধর ইয়া আছে, হল আছে তারফরে দুধ আছে আন্নের বেগগিন চইলবো। হান হইতে, শুয়ারি হইতে ব্যাক কিছু হিয়ানে, বউত টিয়াঁ লাগি যাইবো গৈ, হিয়ানে বউত টিয়াঁর দরকার","আম-কাডল ধর ইয়া আছে, হল আছে তারফরে দুধ আছে আন্নের বেগগিন চইলবো। হান হইতে, শুয়ারি হইতে ব্যাক কিছু হিয়ানে, বউত টিয়াঁ লাগি যাইবো গৈ, হিয়ানে বউত টিয়াঁর দরকার",sandwip,test
audio/test_sandwip_0006.wav,"এই তুই গোসল কইত্তি ন? হিয়া হরে কইরবো এরি। গোসল ন করি টিকন যা নে? হিয়ানেও বউত টিঁয়ার দরকার। ডাইল, চিনি, তেল এগিনেও তো লাইগবো।","এই তুই গোসল কইত্তি ন? হিয়া হরে কইরবো এরি। গোসল ন করি টিকন যা নে? হিয়ানেও বউত টিঁয়ার দরকার। ডাইল, চিনি, তেল এগিনেও তো লাইগবো।",sandwip,test
audio/test_sandwip_0007.wav,"হাক্কন হিডার মাইদ্যে কি কি লাইগবো? কতাগগিন লাইগবো? এক এক এক বারকসের লগে তো আঁত্তে লাগে যন, দেড় কেজি দি সামাইলতে হারি নি কে কইবো, এক কেজিতে এডিক্কা লাইগবো আরি অতইলে, ধর হাঁচ, চাইলে ডাইলে ফাচ কেজি ক না","হাক্কন হিডার মাইদ্যে কি কি লাইগবো? কতাগগিন লাইগবো? এক এক এক বারকসের লগে তো আঁত্তে লাগে যন, দেড় কেজি দি সামাইলতে হারি নি কে কইবো, এক কেজিতে এডিক্কা লাইগবো আরি অতইলে, ধর হাঁচ, চাইলে ডাইলে ফাচ কেজি ক না",sandwip,test
audio/test_sandwip_0008.wav,"হ্যা, চাইলে-ডাইলে হাঁচ কেজি ন? ক ত ভাবি ননির মা ভাবি এ না জানে কথা ক যে হুনি আন্নের ভাইরে। মোবাইলেরলাই আইছে লাগে চাছে <> । হাচানি? হ্যা। একবার লই গেছেগোই ক চাঁছ অ ন, হিরি দি গেছে। অ,","হ্যা, চাইলে-ডাইলে হাঁচ কেজি ন? ক ত ভাবি ননির মা ভাবি এ না জানে কথা ক যে হুনি আন্নের ভাইরে। মোবাইলেরলাই আইছে লাগে চাছে । হাচানি? হ্যা। একবার লই গেছেগোই ক চাঁছ অ ন, হিরি দি গেছে। অ,",sandwip,test
audio/test_sandwip_0009.wav,"কেডিক্কা লাগে <> ? আক্তারের বউ জানে তো, হিয়া কইতে হাইরব। <> ? কি অবস্থা? ভালা নি? আছি ভালা। ওই ব্যাকে জাগাত যাওন দিলে খরচ লইব যে হিয়ান চিন্তা করি <> ।","কেডিক্কা লাগে ? আক্তারের বউ জানে তো, হিয়া কইতে হাইরব। ? কি অবস্থা? ভালা নি? আছি ভালা। ওই ব্যাকে জাগাত যাওন দিলে খরচ লইব যে হিয়ান চিন্তা করি ।",sandwip,test
audio/test_sandwip_0010.wav,"খিলি ফানের <> করি নিতে অইবো, চাই <> ও মাগো <> আই হায়রে, চেয়ার বেগগিন ভাঙ্গি হালাইবো <> এমিক্কা আইয়ো","খিলি ফানের করি নিতে অইবো, চাই ও মাগো আই হায়রে, চেয়ার বেগগিন ভাঙ্গি হালাইবো এমিক্কা আইয়ো",sandwip,test
